台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,672,7213,103.1%,31,16,1/153,1/233,1/451
545,-218,1542,95.3%,5,4,1/171,1/308,1/386
546,-917,2548,88.0%,8,3,1/232,1/319,1/849
547,-373,3376,96.3%,12,9,1/161,1/281,1/375
548,-336,5169,97.8%,19,13,1/162,1/272,1/398
549,-653,2206,90.1%,6,5,1/201,1/368,1/441
550,-598,4731,95.8%,13,18,1/153,1/364,1/263
551,-1323,4030,89.1%,8,16,1/168,1/504,1/252
552,-241,2201,96.4%,9,3,1/183,1/245,1/734
553,-894,7146,95.8%,21,29,1/143,1/340,1/246
554,843,1794,115.7%,9,8,1/106,1/199,1/224
555,-692,816,71.7%,1,0,1/816,1/816,-
556,-864,4958,94.2%,15,15,1/165,1/331,1/331
557,547,2051,108.9%,10,7,1/121,1/205,1/293
558,-892,2521,88.2%,6,8,1/180,1/420,1/315
559,-415,1881,92.6%,6,4,1/188,1/314,1/470
560,663,5021,104.4%,20,15,1/143,1/251,1/335
561,-173,6439,99.1%,19,28,1/137,1/339,1/230
562,215,2450,102.9%,10,7,1/144,1/245,1/350
563,-1349,2828,84.1%,6,8,1/202,1/471,1/354
564,-455,997,84.8%,3,1,1/249,1/332,1/997
565,927,4750,106.5%,20,15,1/136,1/238,1/317
587,-66,4954,99.6%,20,12,1/155,1/248,1/413
588,-425,1084,86.9%,2,2,1/271,1/542,1/542
589,-689,2587,91.1%,6,9,1/172,1/431,1/287
590,-920,1585,80.7%,3,3,1/264,1/528,1/528
591,-1214,2644,84.7%,6,7,1/203,1/441,1/378
592,678,5560,104.1%,22,20,1/132,1/253,1/278
593,108,904,104.0%,3,3,1/151,1/301,1/301
594,1065,3757,109.4%,16,16,1/117,1/235,1/235
595,-362,7274,98.3%,24,25,1/148,1/303,1/291
596,-561,3419,94.5%,10,8,1/190,1/342,1/427
597,468,4243,103.7%,19,10,1/146,1/223,1/424
598,0,2979,100.0%,12,6,1/166,1/248,1/497
599,-370,1965,93.7%,5,9,1/140,1/393,1/218
600,432,4773,103.0%,19,14,1/145,1/251,1/341
601,-626,1094,80.9%,3,2,1/219,1/365,1/547
602,-1037,3969,91.3%,11,10,1/189,1/361,1/397
603,-722,1337,82.0%,2,5,1/191,1/669,1/267
604,-397,4083,96.8%,13,12,1/163,1/314,1/340
605,-552,1235,85.1%,4,0,1/309,1/309,-
606,-98,7128,99.5%,25,24,1/145,1/285,1/297
671,-317,5069,97.9%,17,17,1/149,1/298,1/298
672,-644,1050,79.6%,1,4,1/210,1/1050,1/263
673,-1049,2351,85.1%,4,10,1/168,1/588,1/235
674,-1089,4104,91.2%,14,6,1/205,1/293,1/684
675,-381,2891,95.6%,9,6,1/193,1/321,1/482
676,-599,3163,93.7%,9,12,1/151,1/351,1/264
677,-1040,972,64.3%,0,1,1/972,-,1/972
678,-925,3738,91.8%,12,5,1/220,1/312,1/748
679,-481,694,76.9%,1,1,1/347,1/694,1/694
680,146,4797,101.0%,17,17,1/141,1/282,1/282
681,1414,2931,116.1%,17,7,1/122,1/172,1/419
682,2427,6454,112.5%,32,23,1/117,1/202,1/281
683,-1199,2030,80.3%,3,4,1/290,1/677,1/508
689,-1599,2086,74.4%,3,5,1/261,1/695,1/417
690,-1248,3338,87.5%,8,8,1/209,1/417,1/417
691,-1772,2514,76.5%,1,12,1/193,1/2514,1/210
692,-658,807,72.8%,1,0,1/807,1/807,-
693,-312,1968,94.7%,7,4,1/179,1/281,1/492
694,2825,6290,115.0%,35,18,1/119,1/180,1/349
695,15,1247,100.4%,5,2,1/178,1/249,1/624
696,-968,1295,75.1%,2,1,1/432,1/648,1/1295
697,-1123,2190,82.9%,5,3,1/274,1/438,1/730
698,-815,3669,92.6%,13,8,1/175,1/282,1/459
699,-596,1271,84.4%,3,2,1/254,1/424,1/636
700,0,3355,100.0%,14,5,1/177,1/240,1/671
701,-379,2728,95.4%,8,10,1/152,1/341,1/273
