台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-653,6578,96.7%,25,12,1/178,1/263,1/548
545,-2304,4174,81.6%,9,8,1/246,1/464,1/522
546,1381,6449,107.1%,33,12,1/143,1/195,1/537
547,-1178,6357,93.8%,19,17,1/177,1/335,1/374
548,-479,7280,97.8%,29,17,1/158,1/251,1/428
549,-120,2863,98.6%,12,4,1/179,1/239,1/716
550,-696,2713,91.4%,10,3,1/209,1/271,1/904
551,590,3330,105.9%,17,6,1/145,1/196,1/555
552,-578,7803,97.5%,24,30,1/145,1/325,1/260
553,2122,3326,121.3%,18,13,1/107,1/185,1/256
554,-654,5617,96.1%,16,21,1/152,1/351,1/267
555,8301,7980,134.7%,58,33,1/88,1/138,1/242
556,-912,1069,71.6%,1,1,1/535,1/1069,1/1069
557,1312,6378,106.9%,30,18,1/133,1/213,1/354
558,-557,4766,96.1%,18,7,1/191,1/265,1/681
559,1086,6318,105.7%,24,22,1/137,1/263,1/287
560,-1548,2797,81.6%,7,5,1/233,1/400,1/559
561,-1213,4046,90%,13,7,1/202,1/311,1/578
562,-25,4123,99.8%,15,10,1/165,1/275,1/412
563,-8,4458,99.9%,19,9,1/159,1/235,1/495
564,632,4596,104.6%,21,10,1/148,1/219,1/460
565,982,8929,103.7%,37,31,1/131,1/241,1/288
587,-1594,5018,89.4%,13,15,1/179,1/386,1/335
588,-462,2225,93.1%,8,2,1/223,1/278,1/1113
589,636,7909,102.7%,34,16,1/158,1/233,1/494
590,-587,3923,95%,15,4,1/206,1/262,1/981
591,-2044,5410,87.4%,16,6,1/246,1/338,1/902
592,-1089,6613,94.5%,22,11,1/200,1/301,1/601
593,-1196,2500,84.1%,5,4,1/278,1/500,1/625
594,-175,4316,98.6%,16,10,1/166,1/270,1/432
595,1437,5882,108.1%,27,17,1/134,1/218,1/346
596,-638,3115,93.2%,11,3,1/223,1/283,1/1038
597,-31,5037,99.8%,19,12,1/162,1/265,1/420
598,-2322,3531,78.1%,5,8,1/272,1/706,1/441
599,-123,3109,98.7%,14,4,1/173,1/222,1/777
600,-1003,4885,93.2%,12,18,1/163,1/407,1/271
601,1601,8000,106.7%,31,36,1/119,1/258,1/222
602,-2091,4378,84.1%,8,16,1/182,1/547,1/274
603,592,6960,102.8%,24,32,1/124,1/290,1/218
604,-1281,3241,86.8%,6,10,1/203,1/540,1/324
605,-657,4547,95.2%,16,8,1/189,1/284,1/568
606,-1935,6270,89.7%,17,13,1/209,1/369,1/482
671,-948,2818,88.8%,9,4,1/217,1/313,1/705
672,1950,5509,111.8%,29,10,1/141,1/190,1/551
673,-1092,4327,91.6%,11,16,1/160,1/393,1/270
674,-1375,1968,76.7%,2,5,1/281,1/984,1/394
675,2102,8676,108.1%,40,27,1/129,1/217,1/321
676,-794,1536,82.8%,3,3,1/256,1/512,1/512
677,-511,7452,97.7%,25,21,1/162,1/298,1/355
678,-731,2297,89.4%,5,6,1/209,1/459,1/383
679,-343,3366,96.6%,10,12,1/153,1/337,1/281
680,-1568,5353,90.2%,14,12,1/206,1/382,1/446
681,-875,2006,85.5%,5,2,1/287,1/401,1/1003
682,-1352,4928,90.9%,15,8,1/214,1/329,1/616
683,326,6246,101.7%,28,11,1/160,1/223,1/568
689,-943,4897,93.6%,17,8,1/196,1/288,1/612
690,-420,3266,95.7%,11,7,1/181,1/297,1/467
691,-127,5553,99.2%,19,19,1/146,1/292,1/292
692,-1032,4398,92.2%,13,9,1/200,1/338,1/489
693,107,4972,100.7%,21,8,1/171,1/237,1/622
694,-86,5829,99.5%,21,17,1/153,1/278,1/343
695,-258,4611,98.1%,17,12,1/159,1/271,1/384
696,1350,4425,110.2%,20,20,1/111,1/221,1/221
697,1844,8550,107.2%,35,35,1/122,1/244,1/244
698,3821,8732,114.6%,40,41,1/108,1/218,1/213
699,1014,7552,104.5%,30,28,1/130,1/252,1/270
700,503,4024,104.2%,20,5,1/161,1/201,1/805
701,311,7035,101.5%,28,20,1/147,1/251,1/352
平均,-97,4987,99.4%,19,13,1/156,1/269,1/374
