台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,1334,7360,106%,33,20,1/139,1/223,1/368
545,-539,1859,90.3%,5,4,1/207,1/372,1/465
546,-1179,4376,91%,14,10,1/182,1/313,1/438
547,-305,1056,90.4%,3,2,1/211,1/352,1/528
548,-192,5198,98.8%,19,15,1/153,1/274,1/347
549,-1127,1093,65.6%,0,2,1/547,-,1/547
550,499,3831,104.3%,18,8,1/147,1/213,1/479
551,783,3694,107.1%,18,7,1/148,1/205,1/528
552,-1825,4851,87.5%,11,14,1/194,1/441,1/347
553,-626,1946,89.3%,6,3,1/216,1/324,1/649
554,-737,2995,91.8%,10,4,1/214,1/300,1/749
555,-893,3328,91.1%,12,3,1/222,1/277,1/1109
556,-78,3792,99.3%,15,9,1/158,1/253,1/421
557,-1814,1805,66.5%,2,1,1/602,1/903,1/1805
558,-293,4563,97.9%,19,7,1/176,1/240,1/652
559,-151,1094,95.4%,4,2,1/182,1/274,1/547
560,1420,7548,106.3%,29,31,1/126,1/260,1/243
561,-467,5021,96.9%,15,21,1/139,1/335,1/239
562,-678,811,72.1%,1,0,1/811,1/811,-
563,-1001,3429,90.3%,11,7,1/191,1/312,1/490
564,1225,5784,107.1%,25,18,1/135,1/231,1/321
565,3031,6583,115.3%,41,9,1/132,1/161,1/731
587,232,5264,101.5%,22,13,1/150,1/239,1/405
588,312,3123,103.3%,15,4,1/164,1/208,1/781
589,1950,6683,109.7%,35,11,1/145,1/191,1/608
590,-261,1539,94.3%,5,3,1/192,1/308,1/513
591,-1358,4745,90.5%,14,12,1/183,1/339,1/395
592,-915,788,61.3%,0,1,1/788,-,1/788
593,1475,6027,108.2%,27,19,1/131,1/223,1/317
594,-510,5010,96.6%,17,17,1/147,1/295,1/295
595,-414,1498,90.8%,4,3,1/214,1/375,1/499
596,1377,6888,106.7%,28,26,1/128,1/246,1/265
597,-1229,1467,72.1%,1,4,1/293,1/1467,1/367
598,673,5041,104.5%,23,10,1/153,1/219,1/504
599,198,2628,102.5%,11,6,1/155,1/239,1/438
600,-323,1665,93.5%,5,3,1/208,1/333,1/555
601,-1565,5015,89.6%,13,13,1/193,1/386,1/386
602,-946,1081,70.8%,1,1,1/541,1/1081,1/1081
603,-262,1871,95.3%,6,5,1/170,1/312,1/374
604,328,7081,101.5%,25,30,1/129,1/283,1/236
605,183,4038,101.5%,15,13,1/144,1/269,1/311
606,-1638,2057,73.5%,2,3,1/411,1/1029,1/686
671,-62,3181,99.4%,12,5,1/187,1/265,1/636
672,2687,6636,113.5%,35,22,1/116,1/190,1/302
673,-92,1321,97.7%,4,2,1/220,1/330,1/661
674,-488,1488,89.1%,5,1,1/248,1/298,1/1488
675,-1226,4101,90%,12,10,1/186,1/342,1/410
676,1327,7527,105.9%,33,22,1/137,1/228,1/342
677,-702,1394,83.2%,2,4,1/232,1/697,1/349
678,1160,5348,107.2%,22,21,1/124,1/243,1/255
679,-690,4420,94.8%,13,15,1/158,1/340,1/295
680,-1069,2987,88.1%,7,6,1/230,1/427,1/498
681,-1250,2601,84%,7,3,1/260,1/372,1/867
682,-704,1710,86.3%,5,2,1/244,1/342,1/855
683,304,4639,102.2%,20,10,1/155,1/232,1/464
689,-987,4749,93.1%,15,11,1/183,1/317,1/432
690,-1375,4644,90.1%,12,9,1/221,1/387,1/516
691,-397,4471,97%,18,5,1/194,1/248,1/894
692,-52,3047,99.4%,13,3,1/190,1/234,1/1016
693,515,5829,102.9%,21,23,1/132,1/278,1/253
694,1487,7139,106.9%,31,27,1/123,1/230,1/264
695,464,6988,102.2%,28,24,1/134,1/250,1/291
696,-591,2791,92.9%,10,3,1/215,1/279,1/930
697,-211,2343,97%,9,4,1/180,1/260,1/586
698,-452,2373,93.7%,7,4,1/216,1/339,1/593
699,0,5821,100%,24,13,1/157,1/243,1/448
700,-287,2796,96.6%,13,1,1/200,1/215,1/2796
701,-786,1817,85.6%,4,5,1/202,1/454,1/363
平均,-144,3790,98.7%,14,10,1/160,1/268,1/397
