台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1092,1957,81.4%,4,4,1/245,1/489,1/489
545,-450,3747,96%,13,11,1/156,1/288,1/341
546,835,5173,105.4%,24,9,1/157,1/216,1/575
547,368,2267,105.4%,11,4,1/151,1/206,1/567
548,-373,1239,90%,4,2,1/207,1/310,1/620
549,1251,7593,105.5%,32,24,1/136,1/237,1/316
550,179,4573,101.3%,18,11,1/158,1/254,1/416
551,-626,697,70.1%,1,0,1/697,1/697,-
552,826,3090,108.9%,15,9,1/129,1/206,1/343
553,1977,6801,109.7%,35,14,1/139,1/194,1/486
554,132,3728,101.2%,11,20,1/120,1/339,1/186
555,210,5592,101.3%,21,18,1/143,1/266,1/311
556,-578,2096,90.8%,4,10,1/150,1/524,1/210
557,-896,2204,86.4%,5,4,1/245,1/441,1/551
558,-802,1794,85.1%,6,0,1/299,1/299,-
559,1101,6758,105.4%,32,19,1/133,1/211,1/356
560,-407,4629,97.1%,16,13,1/160,1/289,1/356
561,534,3328,105.3%,11,13,1/139,1/303,1/256
562,-680,1221,81.4%,2,3,1/244,1/611,1/407
563,-870,3482,91.7%,10,6,1/218,1/348,1/580
564,-614,1130,81.9%,2,1,1/377,1/565,1/1130
565,853,3711,107.7%,18,10,1/133,1/206,1/371
587,-418,2920,95.2%,8,9,1/172,1/365,1/324
588,1767,6636,108.9%,33,20,1/125,1/201,1/332
589,-382,1314,90.3%,5,2,1/188,1/263,1/657
590,-472,1662,90.5%,6,1,1/237,1/277,1/1662
591,218,1045,107%,6,0,1/174,1/174,-
592,5113,8630,119.7%,52,31,1/104,1/166,1/278
593,214,3573,102%,15,7,1/162,1/238,1/510
594,-480,2226,92.8%,6,8,1/159,1/371,1/278
595,-324,2401,95.5%,9,3,1/200,1/267,1/800
596,-466,1795,91.3%,5,5,1/180,1/359,1/359
597,-237,4857,98.4%,19,13,1/152,1/256,1/374
598,-734,1926,87.3%,5,4,1/214,1/385,1/482
599,-1284,1899,77.5%,2,6,1/237,1/950,1/317
600,58,6440,100.3%,25,16,1/157,1/258,1/403
601,-221,1795,95.9%,7,4,1/163,1/256,1/449
602,848,5381,105.3%,19,26,1/120,1/283,1/207
603,457,8907,101.7%,32,32,1/139,1/278,1/278
604,-575,531,63.9%,0,0,-,-,-
605,-793,1143,76.9%,1,4,1/229,1/1143,1/286
606,-440,7578,98.1%,25,29,1/140,1/303,1/261
671,2262,4195,118%,25,12,1/113,1/168,1/350
672,977,2461,113.2%,11,11,1/112,1/224,1/224
673,2757,6759,113.6%,31,29,1/113,1/218,1/233
674,-626,489,57.3%,0,0,-,-,-
675,-855,3173,91%,10,7,1/187,1/317,1/453
676,-500,1067,84.4%,2,3,1/213,1/534,1/356
677,981,7105,104.6%,32,17,1/145,1/222,1/418
678,366,1527,108%,6,7,1/117,1/255,1/218
679,-581,465,58.4%,0,0,-,-,-
680,760,7690,103.3%,29,25,1/142,1/265,1/308
681,-287,340,71.9%,0,1,1/340,-,1/340
682,-369,414,70.3%,0,1,1/414,-,1/414
683,167,6888,100.8%,26,22,1/144,1/265,1/313
689,3093,7594,113.6%,38,28,1/115,1/200,1/271
690,38,747,101.7%,4,0,1/187,1/187,-
691,-689,3013,92.4%,8,8,1/188,1/377,1/377
692,-1403,4649,89.9%,13,11,1/194,1/358,1/423
693,-407,1112,87.8%,3,3,1/185,1/371,1/371
694,915,3437,108.9%,16,6,1/156,1/215,1/573
695,-1225,2075,80.3%,3,6,1/231,1/692,1/346
696,-1510,1844,72.7%,2,2,1/461,1/922,1/922
697,86,2615,101.1%,9,9,1/145,1/291,1/291
698,-739,651,62.2%,0,1,1/651,-,1/651
699,109,4971,100.7%,20,8,1/178,1/249,1/621
700,-721,1013,76.3%,2,1,1/338,1/507,1/1013
701,1701,5780,109.8%,24,26,1/116,1/241,1/222
平均,103,3405,101%,13,10,1/149,1/260,1/346
