台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1763,3030,80.6,6,7,1/233,1/505,1/433
545,-502,1728,90.3,6,2,1/216,1/288,1/864
546,-849,903,68.7,1,0,1/903,1/903,-
547,198,1664,104.0,7,2,1/185,1/238,1/832
548,61,6022,100.3,21,24,1/134,1/287,1/251
549,-622,671,69.1,0,2,1/336,-,1/336
550,-831,798,65.3,0,2,1/399,-,1/399
551,-833,2305,88.0,6,6,1/192,1/384,1/384
552,-1031,1617,78.7,4,0,1/404,1/404,-
553,-582,617,68.6,1,0,1/617,1/617,-
554,-598,1356,85.3,4,1,1/271,1/339,1/1356
555,-1196,4110,90.3,12,10,1/187,1/343,1/411
556,-630,1851,88.7,5,5,1/185,1/370,1/370
557,818,4159,106.6,19,10,1/143,1/219,1/416
558,-220,719,89.8,2,2,1/180,1/360,1/360
559,-421,2197,93.6,6,6,1/183,1/366,1/366
560,-428,1440,90.1,4,2,1/240,1/360,1/720
561,67,1337,101.7,5,5,1/134,1/267,1/267
562,-445,2167,93.2,8,3,1/197,1/271,1/722
563,-1066,1708,79.2,3,3,1/285,1/569,1/569
564,1432,5370,108.9,21,26,1/114,1/256,1/207
565,-398,4337,96.9,15,10,1/173,1/289,1/434
587,-535,758,76.5,2,0,1/379,1/379,-
588,-904,2660,88.7,7,6,1/205,1/380,1/443
589,-423,4120,96.6,13,12,1/165,1/317,1/343
590,-193,882,92.7,2,2,1/221,1/441,1/441
591,486,5052,103.2,19,20,1/130,1/266,1/253
592,679,3896,105.8,15,16,1/126,1/260,1/244
593,-168,1157,95.2,4,1,1/231,1/289,1/1157
594,-1351,5791,92.2,14,24,1/152,1/414,1/241
595,885,4486,106.6,21,14,1/128,1/214,1/320
596,-146,998,95.1,3,2,1/200,1/333,1/499
597,2431,4294,118.9,24,15,1/110,1/179,1/286
598,1572,2939,117.8,15,13,1/105,1/196,1/226
599,870,2043,114.2,11,4,1/136,1/186,1/511
600,633,5841,103.6,23,22,1/130,1/254,1/266
601,2403,5655,114.2,30,16,1/123,1/189,1/353
602,-190,464,86.4,1,0,1/464,1/464,-
603,16,2344,100.2,9,3,1/195,1/260,1/781
604,586,3445,105.7,14,12,1/133,1/246,1/287
605,-781,2216,88.3,5,6,1/201,1/443,1/369
606,-728,3379,92.8,10,10,1/169,1/338,1/338
671,1725,5601,110.3,28,18,1/122,1/200,1/311
672,625,1109,118.8,7,2,1/123,1/158,1/555
673,-432,1844,92.2,5,7,1/154,1/369,1/263
674,591,3040,106.5,13,8,1/145,1/234,1/380
675,160,1175,104.5,5,3,1/147,1/235,1/392
676,959,3497,109.1,16,12,1/125,1/219,1/291
677,2128,6673,110.6,29,29,1/115,1/230,1/230
678,-403,392,65.7,0,1,1/392,-,1/392
679,521,2935,105.9,14,6,1/147,1/210,1/489
680,-433,863,83.3,2,1,1/288,1/432,1/863
681,-169,730,92.3,3,0,1/243,1/243,-
682,2119,4795,114.7,24,18,1/114,1/200,1/266
683,-525,3648,95.2,12,12,1/152,1/304,1/304
689,-378,3634,96.5,13,10,1/158,1/280,1/363
690,-614,842,75.7,1,2,1/281,1/842,1/421
691,77,2253,101.1,10,3,1/173,1/225,1/751
692,-250,1006,91.7,3,2,1/201,1/335,1/503
693,-272,712,87.3,2,1,1/237,1/356,1/712
694,-564,3197,94.1,10,9,1/168,1/320,1/355
695,-461,1027,85.0,3,1,1/257,1/342,1/1027
696,-567,2956,93.6,11,4,1/197,1/269,1/739
697,1642,7790,107.0,29,35,1/122,1/269,1/223
698,109,1161,103.1,5,2,1/166,1/232,1/581
699,-143,2186,97.8,9,2,1/199,1/243,1/1093
700,-320,2838,96.2,12,3,1/189,1/237,1/946
701,-465,1299,88.1,3,3,1/217,1/433,1/433
平均,-1,2643,100.0,10,8,1/151,1/269,1/346
