台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-128,7012,99.4%,28,15,1/163,1/250,1/467
545,-431,785,81.7%,2,0,1/393,1/393,-
546,590,7284,102.7%,28,27,1/132,1/260,1/270
547,-366,829,85.3%,2,2,1/207,1/415,1/415
548,692,3354,106.9%,13,12,1/134,1/258,1/280
549,866,1490,119.4%,9,2,1/135,1/166,1/745
550,1060,6257,105.6%,28,15,1/146,1/223,1/417
551,-197,1494,95.6%,6,3,1/166,1/249,1/498
552,-548,1379,86.8%,3,3,1/230,1/460,1/460
553,-222,2825,97.4%,11,5,1/177,1/257,1/565
554,-663,1014,78.2%,2,2,1/254,1/507,1/507
555,280,6986,101.3%,21,31,1/134,1/333,1/225
556,-148,1425,96.5%,5,1,1/238,1/285,1/1425
557,-317,970,89.1%,3,0,1/323,1/323,-
558,-598,2622,92.4%,9,4,1/202,1/291,1/656
559,-112,1518,97.5%,6,3,1/169,1/253,1/506
560,-1173,4210,90.7%,10,17,1/156,1/421,1/248
561,1537,3706,113.8%,16,19,1/106,1/232,1/195
562,-302,4139,97.6%,13,16,1/143,1/318,1/259
563,854,5324,105.3%,24,13,1/144,1/222,1/410
564,-481,1610,90.0%,5,3,1/201,1/322,1/537
565,-40,5542,99.8%,23,14,1/150,1/241,1/396
587,-352,3315,96.5%,11,9,1/166,1/301,1/368
588,-55,717,97.4%,3,1,1/179,1/239,1/717
589,942,7342,104.3%,28,31,1/124,1/262,1/237
590,-92,618,95.0%,2,1,1/206,1/309,1/618
591,874,5866,105.0%,27,15,1/140,1/217,1/391
592,537,5078,103.5%,22,13,1/145,1/231,1/391
593,-193,1828,96.5%,5,6,1/166,1/366,1/305
594,-1040,1786,80.6%,5,1,1/298,1/357,1/1786
595,-217,345,79.0%,1,0,1/345,1/345,-
596,745,7077,103.5%,27,26,1/134,1/262,1/272
597,357,6449,101.8%,22,26,1/134,1/293,1/248
598,-267,1010,91.2%,3,2,1/202,1/337,1/505
599,-1568,2686,80.5%,6,4,1/269,1/448,1/672
600,-272,4131,97.8%,15,12,1/153,1/275,1/344
601,974,5433,106.0%,24,17,1/133,1/226,1/320
602,-513,2544,93.3%,9,4,1/196,1/283,1/636
603,1228,3789,110.8%,17,15,1/118,1/223,1/253
604,-4,3681,100.0%,12,15,1/136,1/307,1/245
605,-475,2527,93.7%,9,4,1/194,1/281,1/632
606,127,2906,101.5%,11,7,1/161,1/264,1/415
671,-326,4974,97.8%,17,14,1/160,1/293,1/355
672,-1251,1917,78.2%,4,3,1/274,1/479,1/639
673,-402,3142,95.7%,10,8,1/175,1/314,1/393
674,-543,916,80.2%,2,1,1/305,1/458,1/916
675,173,4255,101.4%,14,17,1/137,1/304,1/250
676,-561,2132,91.2%,7,4,1/194,1/305,1/533
677,1130,4098,109.2%,21,8,1/141,1/195,1/512
678,-337,670,83.2%,1,1,1/335,1/670,1/670
679,426,2087,106.8%,10,5,1/139,1/209,1/417
680,442,6118,102.4%,22,22,1/139,1/278,1/278
681,-352,464,74.7%,1,0,1/464,1/464,-
682,361,3289,103.7%,15,10,1/132,1/219,1/329
683,1188,4109,109.6%,19,11,1/137,1/216,1/374
689,1389,5223,108.9%,25,14,1/134,1/209,1/373
690,-537,3040,94.1%,10,6,1/190,1/304,1/507
691,-511,797,78.6%,1,2,1/266,1/797,1/399
692,-487,2804,94.2%,9,6,1/187,1/312,1/467
693,-630,2511,91.6%,7,4,1/228,1/359,1/628
694,-764,2245,88.7%,7,4,1/204,1/321,1/561
695,1577,4943,110.6%,23,19,1/118,1/215,1/260
696,115,2548,101.5%,11,5,1/159,1/232,1/510
697,-555,1552,88.1%,4,2,1/259,1/388,1/776
698,-234,846,90.8%,3,0,1/282,1/282,-
699,587,5565,103.5%,21,19,1/139,1/265,1/293
700,-509,1291,86.9%,3,3,1/215,1/430,1/430
701,-168,2830,98.0%,10,6,1/177,1/283,1/472
平均,2,3166,100.0%,12,9,1/152,1/268,1/353
