台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,149,6038,100.8%,26,7,1/183,1/232,1/863
545,-2016,2992,77.5%,5,6,1/272,1/598,1/499
546,-1111,3543,89.5%,11,5,1/221,1/322,1/709
547,27,5430,100.2%,20,19,1/139,1/272,1/286
548,-1544,3254,84.2%,8,5,1/250,1/407,1/651
549,-182,5560,98.9%,19,18,1/150,1/293,1/309
550,-650,3075,93%,10,4,1/220,1/308,1/769
551,-549,5524,96.7%,20,14,1/162,1/276,1/395
552,1257,5193,108.1%,26,12,1/137,1/200,1/433
553,-788,5527,95.2%,17,19,1/154,1/325,1/291
554,-1156,2409,84%,7,1,1/301,1/344,1/2409
555,-1172,3084,87.3%,10,3,1/237,1/308,1/1028
556,139,5573,100.8%,24,12,1/155,1/232,1/464
557,-578,3165,93.9%,12,4,1/198,1/264,1/791
558,-170,4538,98.8%,16,14,1/151,1/284,1/324
559,-382,5098,97.5%,19,11,1/170,1/268,1/463
560,-1032,2039,83.1%,5,2,1/291,1/408,1/1020
561,956,8070,103.9%,36,18,1/149,1/224,1/448
562,45,3421,100.4%,13,10,1/149,1/263,1/342
563,-1437,3735,87.2%,10,8,1/208,1/374,1/467
564,-857,3794,92.5%,12,10,1/172,1/316,1/379
565,637,8381,102.5%,32,30,1/135,1/262,1/279
587,-1552,5301,90.2%,15,11,1/204,1/353,1/482
588,2731,7886,111.5%,43,16,1/134,1/183,1/493
589,-322,5295,98%,18,17,1/151,1/294,1/311
590,-838,3226,91.3%,10,5,1/215,1/323,1/645
591,68,5159,100.4%,22,10,1/161,1/235,1/516
592,-606,3142,93.6%,10,4,1/224,1/314,1/786
593,-820,3607,92.4%,12,6,1/200,1/301,1/601
594,-1975,2931,77.5%,5,6,1/266,1/586,1/489
595,1010,7776,104.3%,33,21,1/144,1/236,1/370
596,-1139,4668,91.9%,11,16,1/173,1/424,1/292
597,77,2221,101.2%,10,3,1/171,1/222,1/740
598,38,4680,100.3%,17,13,1/156,1/275,1/360
599,639,5054,104.2%,24,9,1/153,1/211,1/562
600,373,4018,103.1%,17,10,1/149,1/236,1/402
601,1102,4010,109.2%,20,7,1/149,1/201,1/573
602,-586,4105,95.2%,14,9,1/178,1/293,1/456
603,-1033,4100,91.6%,13,9,1/186,1/315,1/456
604,-556,3775,95.1%,13,8,1/180,1/290,1/472
605,-41,4866,99.7%,22,10,1/152,1/221,1/487
606,-278,3544,97.4%,15,5,1/177,1/236,1/709
671,1912,7334,108.7%,30,30,1/122,1/244,1/244
672,-705,3436,93.2%,10,10,1/172,1/344,1/344
673,234,3506,102.2%,15,10,1/140,1/234,1/351
674,244,5999,101.4%,23,17,1/150,1/261,1/353
675,-939,2563,87.8%,6,4,1/256,1/427,1/641
676,516,5723,103%,25,12,1/155,1/229,1/477
677,756,4735,105.3%,22,12,1/139,1/215,1/395
678,-1038,6980,95%,22,21,1/162,1/317,1/332
679,512,2742,106.2%,12,8,1/137,1/229,1/343
680,1050,5629,106.2%,26,15,1/137,1/217,1/375
681,-1953,6117,89.4%,16,16,1/191,1/382,1/382
682,-557,2132,91.3%,7,2,1/237,1/305,1/1066
683,1171,5449,107.2%,26,13,1/140,1/210,1/419
689,-2418,3981,79.8%,7,8,1/265,1/569,1/498
690,972,4488,107.2%,23,8,1/145,1/195,1/561
691,-1601,6194,91.4%,18,16,1/182,1/344,1/387
692,-774,7193,96.4%,24,21,1/160,1/300,1/343
693,-1052,2573,86.4%,6,3,1/286,1/429,1/858
694,-1953,4808,86.5%,12,11,1/209,1/401,1/437
695,-467,5014,96.9%,18,9,1/186,1/279,1/557
696,625,7224,102.9%,30,21,1/142,1/241,1/344
697,-1527,1863,72.7%,2,3,1/373,1/932,1/621
698,-923,4529,93.2%,13,12,1/181,1/348,1/377
699,333,5922,101.9%,24,13,1/160,1/247,1/456
700,-978,2553,87.2%,6,6,1/213,1/426,1/426
701,636,4210,105%,21,7,1/150,1/200,1/601
平均,-324,4584,97.6%,17,11,1/166,1/272,1/424
