台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-756,1365,81.5%,3,2,1/273,1/455,1/683
545,407,5621,102.4%,23,14,1/152,1/244,1/402
546,38,6274,100.2%,21,23,1/143,1/299,1/273
547,3299,6641,116.6%,33,32,1/102,1/201,1/208
548,-722,3058,92.1%,8,6,1/218,1/382,1/510
549,-498,3078,94.6%,8,10,1/171,1/385,1/308
550,1065,8342,104.3%,32,34,1/126,1/261,1/245
551,-220,3142,97.7%,12,6,1/175,1/262,1/524
552,2645,6997,112.6%,35,25,1/117,1/200,1/280
553,-214,1469,95.1%,7,0,1/210,1/210,-
554,656,7774,102.8%,31,22,1/147,1/251,1/353
555,-471,7399,97.9%,25,25,1/148,1/296,1/296
556,-1825,3917,84.5%,6,15,1/187,1/653,1/261
557,-406,2128,93.6%,8,3,1/193,1/266,1/709
558,-688,6112,96.2%,19,19,1/161,1/322,1/322
559,-441,755,80.5%,2,0,1/378,1/378,-
560,301,8287,101.2%,30,31,1/136,1/276,1/267
561,-693,1134,79.6%,1,3,1/284,1/1134,1/378
562,-581,6150,96.9%,19,23,1/146,1/324,1/267
563,-846,4680,94%,15,16,1/151,1/312,1/293
564,1416,7877,106%,31,34,1/121,1/254,1/232
565,-433,2948,95.1%,11,5,1/184,1/268,1/590
587,-1283,1525,72%,2,1,1/508,1/763,1/1525
588,-136,4418,99%,14,15,1/152,1/316,1/295
589,1509,7924,106.3%,36,22,1/137,1/220,1/360
590,182,2366,102.6%,11,4,1/158,1/215,1/592
591,2827,7985,111.8%,37,29,1/121,1/216,1/275
592,416,7135,101.9%,27,22,1/146,1/264,1/324
593,-1419,2276,79.2%,3,5,1/285,1/759,1/455
594,-654,5210,95.8%,17,15,1/163,1/306,1/347
595,-968,1254,74.3%,2,2,1/314,1/627,1/627
596,-25,5768,99.9%,22,19,1/141,1/262,1/304
597,1872,7431,108.4%,28,37,1/114,1/265,1/201
598,3566,9493,112.5%,43,44,1/109,1/221,1/216
599,-274,2065,95.6%,7,5,1/172,1/295,1/413
600,-473,5044,96.9%,19,11,1/168,1/265,1/459
601,-1106,4597,92%,13,12,1/184,1/354,1/383
602,-1599,4311,87.6%,13,8,1/205,1/332,1/539
603,-292,3028,96.8%,10,7,1/178,1/303,1/433
604,-609,920,77.9%,2,1,1/307,1/460,1/920
605,-493,8393,98%,27,34,1/138,1/311,1/247
606,-607,4773,95.8%,17,15,1/149,1/281,1/318
671,-830,1239,77.7%,2,2,1/310,1/620,1/620
672,2239,7613,109.8%,36,22,1/131,1/211,1/346
673,-161,967,94.5%,4,0,1/242,1/242,-
674,-596,2396,91.7%,9,2,1/218,1/266,1/1198
675,1132,7676,104.9%,29,34,1/122,1/265,1/226
676,360,5551,102.2%,17,28,1/123,1/327,1/198
677,-912,3496,91.3%,10,11,1/166,1/350,1/318
678,-1516,2539,80.1%,6,1,1/363,1/423,1/2539
679,543,4798,103.8%,20,11,1/155,1/240,1/436
680,-1409,1603,70.7%,1,3,1/401,1/1603,1/534
681,-108,3457,99%,13,8,1/165,1/266,1/432
682,2449,5154,115.8%,29,15,1/117,1/178,1/344
683,-732,6110,96%,21,19,1/153,1/291,1/322
689,16,4545,100.1%,19,8,1/168,1/239,1/568
690,255,3814,102.2%,15,10,1/153,1/254,1/381
691,1703,6913,108.2%,31,23,1/128,1/223,1/301
692,273,4824,101.9%,17,14,1/156,1/284,1/345
693,-489,7228,97.7%,25,24,1/148,1/289,1/301
694,-605,796,74.7%,1,1,1/398,1/796,1/796
695,39,5107,100.3%,20,13,1/155,1/255,1/393
696,156,1587,103.3%,8,1,1/176,1/198,1/1587
697,-893,3521,91.5%,9,11,1/176,1/391,1/320
698,1831,8278,107.4%,36,28,1/129,1/230,1/296
699,814,4124,106.6%,18,15,1/125,1/229,1/275
700,-1248,3217,87.1%,8,6,1/230,1/402,1/536
701,-311,4413,97.7%,13,19,1/138,1/339,1/232
平均,51,4589,100.4%,17,14,1/146,1/272,1/317
