台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1738,2226,74.0,3,4,1/318,1/742,1/557
545,-1175,2251,82.6,5,5,1/225,1/450,1/450
546,-684,1069,78.7,1,3,1/267,1/1069,1/356
547,2473,7342,111.2,36,20,1/131,1/204,1/367
548,-391,957,86.4,3,1,1/239,1/319,1/957
549,-803,1279,79.1,2,2,1/320,1/640,1/640
550,-478,4133,96.1,14,11,1/165,1/295,1/376
551,-327,655,83.4,2,1,1/218,1/328,1/655
552,1137,5795,106.5,26,15,1/141,1/223,1/386
553,1601,3904,113.7,22,9,1/126,1/177,1/434
554,314,2498,104.2,11,4,1/167,1/227,1/625
555,-498,3255,94.9,8,12,1/163,1/407,1/271
556,-55,7208,99.7,25,29,1/133,1/288,1/249
557,290,2333,104.1,11,4,1/156,1/212,1/583
558,-473,2797,94.4,10,4,1/200,1/280,1/699
559,-951,1198,73.5,2,0,1/599,1/599,-
560,-157,3009,98.3,11,5,1/188,1/274,1/602
561,798,2822,109.4,15,5,1/141,1/188,1/564
562,-1640,4518,87.9,10,13,1/196,1/452,1/348
563,-1213,4156,90.3,9,17,1/160,1/462,1/244
564,-557,1029,82.0,3,2,1/206,1/343,1/515
565,167,6664,100.8,26,21,1/142,1/256,1/317
587,-1156,4798,92.0,13,14,1/178,1/369,1/343
588,-284,1854,94.9,5,5,1/185,1/371,1/371
589,418,7459,101.9,32,13,1/166,1/233,1/574
590,-1124,1843,79.7,3,5,1/230,1/614,1/369
591,356,5504,102.2,21,16,1/149,1/262,1/344
592,1188,3010,113.2,15,12,1/111,1/201,1/251
593,-1127,3910,90.4,10,10,1/196,1/391,1/391
594,-685,671,66.0,1,0,1/671,1/671,-
595,536,3903,104.6,19,5,1/163,1/205,1/781
596,1080,4577,107.9,23,6,1/158,1/199,1/763
597,-784,2297,88.6,6,5,1/209,1/383,1/459
598,-950,2555,87.6,7,5,1/213,1/365,1/511
599,-393,495,73.5,1,0,1/495,1/495,-
600,2508,7983,110.5,36,33,1/116,1/222,1/242
601,-478,1358,88.3,2,4,1/226,1/679,1/340
602,-246,813,89.9,3,1,1/203,1/271,1/813
603,2433,6607,112.3,30,26,1/118,1/220,1/254
604,-17,5290,99.9,18,19,1/143,1/294,1/278
605,214,7072,101.0,29,16,1/157,1/244,1/442
606,-734,1163,79.0,3,1,1/291,1/388,1/1163
671,-1349,5986,92.5,19,13,1/187,1/315,1/460
672,-485,1343,88.0,2,6,1/168,1/672,1/224
673,-172,6228,99.1,19,25,1/142,1/328,1/249
674,1418,2752,117.2,17,2,1/145,1/162,1/1376
675,-944,1887,83.3,4,4,1/236,1/472,1/472
676,-1366,3213,85.8,7,7,1/230,1/459,1/459
677,-57,1577,98.8,7,1,1/197,1/225,1/1577
678,-539,1086,83.5,3,1,1/272,1/362,1/1086
679,1099,6041,106.1,29,12,1/147,1/208,1/503
680,-456,5319,97.1,20,10,1/177,1/266,1/532
681,-517,712,75.8,1,1,1/356,1/712,1/712
682,2527,6628,112.7,35,19,1/123,1/189,1/349
683,228,5789,101.3,24,13,1/156,1/241,1/445
689,777,6200,104.2,27,20,1/132,1/230,1/310
690,-933,1149,72.9,1,2,1/383,1/1149,1/575
691,-719,4029,94.1,12,12,1/168,1/336,1/336
692,1577,6398,108.2,31,18,1/131,1/206,1/355
693,-422,1727,91.9,6,1,1/247,1/288,1/1727
694,-526,4979,96.5,17,15,1/156,1/293,1/332
695,-768,3729,93.1,9,14,1/162,1/414,1/266
696,602,5866,103.4,23,20,1/136,1/255,1/293
697,-510,2057,91.7,5,5,1/206,1/411,1/411
698,1186,6268,106.3,31,14,1/139,1/202,1/448
699,-688,912,74.9,1,2,1/304,1/912,1/456
700,-223,1957,96.2,7,4,1/178,1/280,1/489
701,-422,4791,97.1,17,11,1/171,1/282,1/436
平均,-78,3572,99.3,13,9,1/158,1/268,1/382
