台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1122,5184,92.8%,16,9,1/207,1/324,1/576
545,-66,1129,98.1%,5,0,1/226,1/226,-
546,-492,4903,96.7%,15,17,1/153,1/327,1/288
547,-462,935,83.5%,2,2,1/234,1/468,1/468
548,1207,5518,107.3%,24,18,1/131,1/230,1/307
549,-166,2006,97.2%,6,8,1/143,1/334,1/251
550,1156,3132,112.3%,16,9,1/125,1/196,1/348
551,-369,3809,96.8%,13,12,1/152,1/293,1/317
552,954,4408,107.2%,20,13,1/134,1/220,1/339
553,-614,925,77.9%,1,2,1/308,1/925,1/463
554,-361,562,78.6%,1,0,1/562,1/562,-
555,-139,6066,99.2%,17,33,1/121,1/357,1/184
556,-313,592,82.4%,1,1,1/296,1/592,1/592
557,377,4921,102.6%,20,11,1/159,1/246,1/447
558,219,3641,102%,13,15,1/130,1/280,1/243
559,-677,2657,91.5%,7,5,1/221,1/380,1/531
560,-417,830,83.3%,2,2,1/208,1/415,1/415
561,-266,4262,97.9%,16,13,1/147,1/266,1/328
562,-642,1503,85.8%,3,4,1/215,1/501,1/376
563,-466,4067,96.2%,15,10,1/163,1/271,1/407
564,455,2739,105.5%,12,7,1/144,1/228,1/391
565,-773,1676,84.6%,5,3,1/210,1/335,1/559
587,-172,3800,98.5%,12,14,1/146,1/317,1/271
588,-528,2784,93.7%,9,7,1/174,1/309,1/398
589,-559,528,64.7%,0,1,1/528,-,1/528
590,-719,1152,79.2%,2,1,1/384,1/576,1/1152
591,-1210,1977,79.6%,2,6,1/247,1/989,1/330
592,-266,603,85.3%,2,0,1/302,1/302,-
593,1416,6734,107%,26,29,1/122,1/259,1/232
594,-493,498,67%,0,1,1/498,-,1/498
595,-912,2648,88.5%,6,7,1/204,1/441,1/378
596,-981,2181,85%,5,5,1/218,1/436,1/436
597,-582,1036,81.3%,2,2,1/259,1/518,1/518
598,-273,1160,92.2%,3,3,1/193,1/387,1/387
599,286,6011,101.6%,23,17,1/150,1/261,1/354
600,2025,3094,121.8%,20,8,1/111,1/155,1/387
601,30,2915,100.3%,11,7,1/162,1/265,1/416
602,-772,2574,90%,6,6,1/215,1/429,1/429
603,483,2062,107.8%,10,4,1/147,1/206,1/516
604,2474,4899,116.8%,25,25,1/98,1/196,1/196
605,-578,1430,86.5%,3,3,1/238,1/477,1/477
606,-921,1503,79.6%,3,2,1/301,1/501,1/752
671,22,1408,100.5%,6,1,1/201,1/235,1/1408
672,-323,2685,96%,8,8,1/168,1/336,1/336
673,-169,1346,95.8%,5,3,1/168,1/269,1/449
674,751,5137,104.9%,21,19,1/128,1/245,1/270
675,379,1726,107.3%,7,7,1/123,1/247,1/247
676,163,4994,101.1%,20,14,1/147,1/250,1/357
677,-296,434,77.3%,1,0,1/434,1/434,-
678,-737,3828,93.6%,13,8,1/182,1/294,1/479
679,-513,350,51.1%,0,0,-,-,-
680,170,2096,102.7%,9,6,1/140,1/233,1/349
681,2380,7168,111.1%,32,33,1/110,1/224,1/217
682,607,1772,111.4%,9,4,1/136,1/197,1/443
683,-269,2044,95.6%,5,9,1/146,1/409,1/227
689,622,4198,104.9%,17,13,1/140,1/247,1/323
690,-630,1391,84.9%,4,0,1/348,1/348,-
691,-540,3692,95.1%,11,12,1/161,1/336,1/308
692,-1407,3618,87%,9,9,1/201,1/402,1/402
693,-303,1094,90.8%,4,1,1/219,1/274,1/1094
694,3063,6562,115.6%,33,25,1/113,1/199,1/262
695,145,682,107.1%,4,0,1/171,1/171,-
696,-337,662,83%,2,0,1/331,1/331,-
697,2168,7359,109.8%,29,36,1/113,1/254,1/204
698,-242,615,86.9%,2,0,1/308,1/308,-
699,-73,3681,99.3%,15,7,1/167,1/245,1/526
700,299,1386,107.2%,6,4,1/139,1/231,1/347
701,822,5879,104.7%,23,18,1/143,1/256,1/327
平均,8,2807,100.1%,10,9,1/150,1/275,1/330
