台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-224,6269,98.8%,22,19,1/153,1/285,1/330
545,297,7274,101.4%,30,18,1/152,1/242,1/404
546,-765,2668,90.4%,7,7,1/191,1/381,1/381
547,841,6869,104.1%,27,26,1/130,1/254,1/264
548,-219,2952,97.5%,11,7,1/164,1/268,1/422
549,2512,7291,111.5%,35,31,1/110,1/208,1/235
550,425,3828,103.7%,14,16,1/128,1/273,1/239
551,-1579,4220,87.5%,9,10,1/222,1/469,1/422
552,-585,4190,95.3%,13,16,1/144,1/322,1/262
553,-767,4331,94.1%,12,10,1/197,1/361,1/433
554,123,2483,101.7%,11,4,1/166,1/226,1/621
555,2494,8069,110.3%,38,28,1/122,1/212,1/288
556,-91,3868,99.2%,15,10,1/155,1/258,1/387
557,-313,3581,97.1%,10,13,1/156,1/358,1/275
558,-372,6185,98%,24,12,1/172,1/258,1/515
559,-679,1775,87.2%,5,2,1/254,1/355,1/888
560,1155,4588,108.4%,21,14,1/131,1/218,1/328
561,-110,3132,98.8%,12,6,1/174,1/261,1/522
562,3557,7627,115.5%,38,33,1/107,1/201,1/231
563,2738,8727,110.5%,39,38,1/113,1/224,1/230
564,-539,3128,94.3%,8,12,1/156,1/391,1/261
565,1348,6634,106.8%,32,12,1/151,1/207,1/553
587,784,7974,103.3%,35,22,1/140,1/228,1/362
588,1580,7344,107.2%,34,24,1/127,1/216,1/306
589,-485,2831,94.3%,8,9,1/167,1/354,1/315
590,722,5766,104.2%,24,20,1/131,1/240,1/288
591,2883,6820,114.1%,39,15,1/126,1/175,1/455
592,-697,2749,91.5%,8,7,1/183,1/344,1/393
593,-678,5375,95.8%,19,10,1/185,1/283,1/538
594,-1156,5105,92.5%,14,20,1/150,1/365,1/255
595,-116,5186,99.3%,19,13,1/162,1/273,1/399
596,-1537,2914,82.4%,6,6,1/243,1/486,1/486
597,-55,3354,99.5%,15,5,1/168,1/224,1/671
598,69,7482,100.3%,22,36,1/129,1/340,1/208
599,-956,3328,90.4%,8,14,1/151,1/416,1/238
600,1702,6846,108.3%,31,21,1/132,1/221,1/326
601,-953,1372,76.8%,2,1,1/457,1/686,1/1372
602,2268,6059,112.5%,34,10,1/138,1/178,1/606
603,-644,2824,92.4%,9,6,1/188,1/314,1/471
604,-1799,4156,85.6%,10,9,1/219,1/416,1/462
605,-747,4362,94.3%,13,14,1/162,1/336,1/312
606,377,6033,102.1%,22,22,1/137,1/274,1/274
671,-628,4275,95.1%,10,18,1/153,1/428,1/238
672,-427,5046,97.2%,18,11,1/174,1/280,1/459
673,-1513,2955,82.9%,6,5,1/269,1/493,1/591
674,-676,3540,93.6%,12,6,1/197,1/295,1/590
675,-435,2850,94.9%,10,5,1/190,1/285,1/570
676,681,6050,103.8%,23,24,1/129,1/263,1/252
677,-937,2410,87%,7,4,1/219,1/344,1/603
678,-411,3314,95.9%,12,7,1/174,1/276,1/473
679,875,2936,109.9%,15,7,1/133,1/196,1/419
680,2874,7783,112.3%,34,35,1/113,1/229,1/222
681,2243,5133,114.6%,27,16,1/119,1/190,1/321
682,-201,5337,98.7%,20,14,1/157,1/267,1/381
683,145,4888,101%,18,17,1/140,1/272,1/288
689,-1288,4563,90.6%,13,11,1/190,1/351,1/415
690,-90,1640,98.2%,7,2,1/182,1/234,1/820
691,374,6416,101.9%,25,18,1/149,1/257,1/356
692,-1348,3589,87.5%,10,5,1/239,1/359,1/718
693,437,2147,106.8%,10,6,1/134,1/215,1/358
694,-651,1988,89.1%,5,3,1/249,1/398,1/663
695,1422,6488,107.3%,25,28,1/122,1/260,1/232
696,3003,8053,112.4%,39,31,1/115,1/206,1/260
697,346,5516,102.1%,20,22,1/131,1/276,1/251
698,-357,5082,97.7%,17,17,1/149,1/299,1/299
699,101,3830,100.9%,14,11,1/153,1/274,1/348
700,-1300,2882,85%,5,8,1/222,1/576,1/360
701,525,3796,104.6%,16,8,1/158,1/237,1/475
