台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1055,5615,93.7%,17,15,1/175,1/330,1/374
545,-963,3239,90.1%,7,12,1/170,1/463,1/270
546,1383,7567,106.1%,36,16,1/146,1/210,1/473
547,-686,6244,96.3%,19,24,1/145,1/329,1/260
548,-58,1258,98.5%,5,3,1/157,1/252,1/419
549,454,6003,102.5%,22,20,1/143,1/273,1/300
550,295,2696,103.6%,11,8,1/142,1/245,1/337
551,34,5219,100.2%,20,11,1/168,1/261,1/474
552,535,3859,104.6%,17,8,1/154,1/227,1/482
553,-1140,3075,87.6%,8,6,1/220,1/384,1/513
554,-69,3299,99.3%,13,6,1/174,1/254,1/550
555,2262,8181,109.2%,35,27,1/132,1/234,1/303
556,-421,992,85.9%,3,0,1/331,1/331,-
557,-1198,4535,91.2%,12,13,1/181,1/378,1/349
558,311,2378,104.4%,11,3,1/170,1/216,1/793
559,-1668,3208,82.7%,7,6,1/247,1/458,1/535
560,-959,4810,93.4%,12,18,1/160,1/401,1/267
561,-1068,2338,84.8%,5,4,1/260,1/468,1/585
562,-363,6432,98.1%,21,20,1/157,1/306,1/322
563,-938,2720,88.5%,8,4,1/227,1/340,1/680
564,-381,2690,95.3%,9,6,1/179,1/299,1/448
565,1685,8711,106.4%,36,32,1/128,1/242,1/272
587,978,6901,104.7%,29,27,1/123,1/238,1/256
588,-369,5075,97.6%,18,15,1/154,1/282,1/338
589,1061,2483,114.2%,13,5,1/138,1/191,1/497
590,-864,1467,80.4%,3,4,1/210,1/489,1/367
591,1065,6905,105.1%,32,18,1/138,1/216,1/384
592,-16,3060,99.8%,12,8,1/153,1/255,1/383
593,2683,4165,121.5%,26,12,1/110,1/160,1/347
594,2033,7082,109.6%,33,18,1/139,1/215,1/393
595,-337,1553,92.8%,5,4,1/173,1/311,1/388
596,-1792,3431,82.6%,8,7,1/229,1/429,1/490
597,1219,3598,111.3%,17,9,1/138,1/212,1/400
598,-1550,3883,86.7%,8,12,1/194,1/485,1/324
599,-1250,1917,78.3%,4,3,1/274,1/479,1/639
600,2239,6749,111.1%,35,18,1/127,1/193,1/375
601,-370,2659,95.4%,11,2,1/205,1/242,1/1330
602,20,2979,100.2%,13,5,1/166,1/229,1/596
603,386,3630,103.5%,16,8,1/151,1/227,1/454
604,-817,4101,93.4%,11,13,1/171,1/373,1/315
605,-1107,3752,90.2%,12,6,1/208,1/313,1/625
606,-537,6368,97.2%,24,11,1/182,1/265,1/579
671,-478,1730,90.8%,6,1,1/247,1/288,1/1730
672,2237,6890,110.8%,33,24,1/121,1/209,1/287
673,-2,1550,100.0%,6,3,1/172,1/258,1/517
674,-77,5027,99.5%,20,11,1/162,1/251,1/457
675,-658,5118,95.7%,16,17,1/155,1/320,1/301
676,-1121,2097,82.2%,4,4,1/262,1/524,1/524
677,445,7746,101.9%,28,29,1/136,1/277,1/267
678,163,1793,103.0%,8,3,1/163,1/224,1/598
679,-343,1895,94.0%,6,2,1/237,1/316,1/948
680,-620,2352,91.2%,7,6,1/181,1/336,1/392
681,-1126,3210,88.3%,7,11,1/178,1/459,1/292
682,832,4765,105.8%,22,11,1/144,1/217,1/433
683,980,5890,105.5%,25,18,1/137,1/236,1/327
689,429,5935,102.4%,25,17,1/141,1/237,1/349
690,-374,1529,91.8%,4,4,1/191,1/382,1/382
691,1483,3888,112.7%,19,12,1/125,1/205,1/324
692,-204,3656,98.1%,10,15,1/146,1/366,1/244
693,-1141,6277,93.9%,20,15,1/179,1/314,1/418
694,-1337,2355,81.1%,4,6,1/236,1/589,1/393
695,-759,1366,81.5%,4,0,1/342,1/342,-
696,1245,6091,106.8%,29,16,1/135,1/210,1/381
697,-888,1656,82.1%,2,4,1/276,1/828,1/414
698,634,6329,103.3%,27,13,1/158,1/234,1/487
699,-873,2953,90.1%,8,8,1/185,1/369,1/369
700,-162,2414,97.8%,10,6,1/151,1/241,1/402
701,1189,4718,108.4%,24,10,1/139,1/197,1/472
平均,-27,4060,99.8%,15,11,1/156,1/266,1/377
