台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1021,6634,94.9,19,23,1/158,1/349,1/288
545,250,6522,101.3,23,23,1/142,1/284,1/284
546,-300,1341,92.5,5,1,1/224,1/268,1/1341
547,-740,5487,95.5,18,12,1/183,1/305,1/457
548,2026,4108,116.4,24,9,1/124,1/171,1/456
549,732,4160,105.9,16,16,1/130,1/260,1/260
550,-591,5515,96.4,20,12,1/172,1/276,1/460
551,-1070,4452,92.0,13,10,1/194,1/342,1/445
552,-823,884,69.0,1,0,1/884,1/884,-
553,-1267,3246,87.0,9,6,1/216,1/361,1/541
554,-628,2496,91.6,6,9,1/166,1/416,1/277
555,2127,5746,112.3,28,20,1/120,1/205,1/287
556,-441,5274,97.2,19,16,1/151,1/278,1/330
557,-171,4863,98.8,19,11,1/162,1/256,1/442
558,-1125,5592,93.3,17,12,1/193,1/329,1/466
559,-1284,2336,81.7,4,5,1/260,1/584,1/467
560,72,6969,100.3,28,18,1/152,1/249,1/387
561,-276,1243,92.6,4,3,1/178,1/311,1/414
562,954,5695,105.6,26,16,1/136,1/219,1/356
563,19,5277,100.1,21,16,1/143,1/251,1/330
564,-1109,1193,69.0,1,2,1/398,1/1193,1/597
565,-798,6325,95.8,23,12,1/181,1/275,1/527
587,-961,5061,93.7,15,16,1/163,1/337,1/316
588,155,3881,101.3,12,16,1/139,1/323,1/243
589,1965,6028,110.9,26,26,1/116,1/232,1/232
590,91,1803,101.7,9,1,1/180,1/200,1/1803
591,-257,2934,97.1,13,2,1/196,1/226,1/1467
592,177,6250,100.9,27,9,1/174,1/231,1/694
593,-634,722,70.7,1,1,1/361,1/722,1/722
594,-1141,4984,92.4,16,7,1/217,1/312,1/712
595,-927,5735,94.6,16,22,1/151,1/358,1/261
596,213,4443,101.6,19,12,1/143,1/234,1/370
597,495,6224,102.7,23,21,1/141,1/271,1/296
598,-337,1339,91.6,3,3,1/223,1/446,1/446
599,189,6163,101.0,21,25,1/134,1/293,1/247
600,381,2115,106.0,11,4,1/141,1/192,1/529
601,171,6193,100.9,23,19,1/147,1/269,1/326
602,1460,6717,107.2,29,22,1/132,1/232,1/305
603,58,3955,100.5,18,4,1/180,1/220,1/989
604,-384,5032,97.5,16,16,1/157,1/315,1/315
605,-145,4768,99.0,18,15,1/144,1/265,1/318
606,-366,5789,97.9,20,17,1/156,1/289,1/341
671,2637,4684,118.8,29,9,1/123,1/162,1/520
672,655,5232,104.2,23,11,1/154,1/227,1/476
673,394,2799,104.7,13,5,1/156,1/215,1/560
674,342,6177,101.8,26,13,1/158,1/238,1/475
675,-511,5369,96.8,19,16,1/153,1/283,1/336
676,749,1944,112.8,11,2,1/150,1/177,1/972
677,1347,6424,107.0,28,19,1/137,1/229,1/338
678,1418,3936,112.0,18,16,1/116,1/219,1/246
679,18,4900,100.1,19,14,1/148,1/258,1/350
680,-504,1295,87.0,3,2,1/259,1/432,1/648
681,1509,6890,107.3,31,24,1/125,1/222,1/287
682,-621,3453,94.0,11,8,1/182,1/314,1/432
683,-1832,6684,90.9,20,17,1/181,1/334,1/393
689,1572,6368,108.2,28,26,1/118,1/227,1/245
690,866,8278,103.5,27,41,1/122,1/307,1/202
691,1418,8552,105.5,31,44,1/114,1/276,1/194
692,-1302,2469,82.4,5,5,1/247,1/494,1/494
693,-1739,3129,81.5,5,9,1/224,1/626,1/348
694,-227,6474,98.8,23,20,1/151,1/281,1/324
695,-1093,1623,77.6,3,3,1/271,1/541,1/541
696,-397,5251,97.5,19,14,1/159,1/276,1/375
697,-1900,4075,84.5,7,15,1/185,1/582,1/272
698,-1177,2728,85.6,5,11,1/171,1/546,1/248
699,-478,3938,96.0,14,8,1/179,1/281,1/492
700,804,4673,105.7,19,18,1/126,1/246,1/260
701,-786,5855,95.5,18,21,1/150,1/325,1/279
平均,-60,4540,99.6,17,13,1/152,1/272,1/343
