台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,3655,6128,119.9%,39,9,1/128,1/157,1/681
545,-1331,4806,90.8%,12,15,1/178,1/401,1/320
546,-1746,4916,88.2%,11,14,1/197,1/447,1/351
547,155,2587,102%,12,2,1/185,1/216,1/1294
548,3392,7346,115.4%,35,36,1/103,1/210,1/204
549,663,9818,102.3%,34,47,1/121,1/289,1/209
550,1838,7359,108.3%,30,30,1/123,1/245,1/245
551,-1284,5833,92.7%,17,18,1/167,1/343,1/324
552,853,6769,104.2%,27,25,1/130,1/251,1/271
553,1362,6723,106.8%,32,17,1/137,1/210,1/395
554,-456,5962,97.5%,21,18,1/153,1/284,1/331
555,-1199,5292,92.4%,14,17,1/171,1/378,1/311
556,-14,4902,99.9%,16,17,1/149,1/306,1/288
557,234,3118,102.5%,13,7,1/156,1/240,1/445
558,-326,6725,98.4%,21,24,1/149,1/320,1/280
559,-1086,1967,81.6%,5,2,1/281,1/393,1/984
560,-1281,2419,82.3%,5,4,1/269,1/484,1/605
561,1470,7502,106.5%,35,21,1/134,1/214,1/357
562,-272,5088,98.2%,21,10,1/164,1/242,1/509
563,-627,2217,90.6%,6,7,1/171,1/370,1/317
564,1050,7781,104.5%,34,21,1/141,1/229,1/371
565,362,6987,101.7%,26,18,1/159,1/269,1/388
587,1084,6177,105.8%,28,16,1/140,1/221,1/386
588,649,6015,103.6%,25,19,1/137,1/241,1/317
589,1036,9072,103.8%,31,40,1/128,1/293,1/227
590,1558,5513,109.4%,22,30,1/106,1/251,1/184
591,-1301,2942,85.3%,8,4,1/245,1/368,1/736
592,1966,6136,110.7%,31,18,1/125,1/198,1/341
593,-449,2629,94.3%,9,5,1/188,1/292,1/526
594,-98,4171,99.2%,16,11,1/154,1/261,1/379
595,-244,3411,97.6%,15,3,1/190,1/227,1/1137
596,-1532,4758,89.3%,13,10,1/207,1/366,1/476
597,-351,4654,97.5%,20,5,1/186,1/233,1/931
598,-979,5952,94.5%,18,16,1/175,1/331,1/372
599,-1266,4798,91.2%,14,13,1/178,1/343,1/369
600,-656,2739,92%,9,6,1/183,1/304,1/457
601,1008,6833,104.9%,26,31,1/120,1/263,1/220
602,256,6073,101.4%,23,18,1/148,1/264,1/337
603,261,4697,101.9%,18,14,1/147,1/261,1/336
604,794,5111,105.2%,25,13,1/135,1/204,1/393
605,-164,6860,99.2%,23,25,1/143,1/298,1/274
606,-496,5123,96.8%,18,14,1/160,1/285,1/366
671,-1336,3722,88%,9,11,1/186,1/414,1/338
672,-1439,2055,76.7%,3,5,1/257,1/685,1/411
673,-503,5252,96.8%,18,17,1/150,1/292,1/309
674,-490,982,83.4%,3,1,1/246,1/327,1/982
675,1049,6609,105.3%,30,18,1/138,1/220,1/367
676,-1054,1292,72.8%,1,2,1/431,1/1292,1/646
677,2240,6591,111.3%,34,18,1/127,1/194,1/366
678,641,3247,106.6%,16,6,1/148,1/203,1/541
679,592,8227,102.4%,28,33,1/135,1/294,1/249
680,-320,1359,92.2%,4,4,1/170,1/340,1/340
681,1533,7894,106.5%,34,27,1/129,1/232,1/292
682,4132,7041,119.6%,40,24,1/110,1/176,1/293
683,-1798,5323,88.7%,19,6,1/213,1/280,1/887
689,2151,7610,109.4%,37,19,1/136,1/206,1/401
690,-651,3362,93.5%,12,5,1/198,1/280,1/672
691,2731,5243,117.4%,31,14,1/117,1/169,1/375
692,-1017,5398,93.7%,17,15,1/169,1/318,1/360
693,-92,2385,98.7%,10,3,1/183,1/239,1/795
694,857,6094,104.7%,25,18,1/142,1/244,1/339
695,-1086,5524,93.4%,15,18,1/167,1/368,1/307
696,1381,5682,108.1%,26,18,1/129,1/219,1/316
697,-561,5285,96.5%,15,24,1/136,1/352,1/220
698,-1070,6037,94.1%,16,24,1/151,1/377,1/252
699,-383,5284,97.6%,15,23,1/139,1/352,1/230
700,814,5176,105.2%,22,14,1/144,1/235,1/370
701,-1517,4382,88.5%,12,11,1/191,1/365,1/398
平均,166,5191,101.1%,20,16,1/146,1/261,1/330
