台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,1786,6212,109.6%,31,15,1/135,1/200,1/414
545,80,6826,100.4%,26,18,1/155,1/263,1/379
546,1010,4653,107.2%,22,11,1/141,1/212,1/423
547,-44,6266,99.8%,24,15,1/161,1/261,1/418
548,586,4481,104.4%,20,12,1/140,1/224,1/373
549,-5,4486,100%,15,18,1/136,1/299,1/249
550,-519,5359,96.8%,18,19,1/145,1/298,1/282
551,-55,3107,99.4%,11,11,1/141,1/282,1/282
552,1898,6483,109.8%,32,19,1/127,1/203,1/341
553,-1950,2528,74.3%,3,5,1/316,1/843,1/506
554,297,4753,102.1%,20,12,1/149,1/238,1/396
555,679,6790,103.3%,26,30,1/121,1/261,1/226
556,252,3487,102.4%,15,6,1/166,1/232,1/581
557,-1084,5997,94%,19,16,1/171,1/316,1/375
558,358,6826,101.7%,28,19,1/145,1/244,1/359
559,-900,2585,88.4%,7,4,1/235,1/369,1/646
560,-242,3224,97.5%,14,3,1/190,1/230,1/1075
561,-1442,6997,93.1%,19,27,1/152,1/368,1/259
562,-1526,3811,86.7%,8,12,1/191,1/476,1/318
563,-959,3507,90.9%,10,9,1/185,1/351,1/390
564,38,4567,100.3%,16,14,1/152,1/285,1/326
565,-596,5975,96.7%,17,26,1/139,1/351,1/230
587,-1441,2069,76.8%,3,3,1/345,1/690,1/690
588,344,8298,101.4%,29,31,1/138,1/286,1/268
589,2221,4607,116.1%,24,17,1/112,1/192,1/271
590,3009,8751,111.5%,40,34,1/118,1/219,1/257
591,-37,5018,99.8%,19,13,1/157,1/264,1/386
592,-1049,3627,90.4%,9,11,1/181,1/403,1/330
593,336,5092,102.2%,21,14,1/145,1/242,1/364
594,-1355,4682,90.4%,13,13,1/180,1/360,1/360
595,69,6463,100.4%,23,22,1/144,1/281,1/294
596,-497,3694,95.5%,14,3,1/217,1/264,1/1231
597,1753,6098,109.6%,31,14,1/136,1/197,1/436
598,1466,4480,110.9%,23,10,1/136,1/195,1/448
599,1135,8254,104.6%,30,34,1/129,1/275,1/243
600,256,6003,101.4%,21,19,1/150,1/286,1/316
601,-2,4230,100%,15,13,1/151,1/282,1/325
602,-453,5222,97.1%,17,15,1/163,1/307,1/348
603,-426,5048,97.2%,16,15,1/163,1/316,1/337
604,-1088,3160,88.5%,7,11,1/176,1/451,1/287
605,180,5489,101.1%,21,13,1/161,1/261,1/422
606,1750,7307,108%,32,26,1/126,1/228,1/281
671,2502,7826,110.7%,41,22,1/124,1/191,1/356
672,-159,3226,98.4%,10,12,1/147,1/323,1/269
673,1157,5381,107.2%,24,13,1/145,1/224,1/414
674,-1021,3145,89.2%,7,11,1/175,1/449,1/286
675,1277,6450,106.6%,25,28,1/122,1/258,1/230
676,-564,4760,96.1%,15,13,1/170,1/317,1/366
677,-1340,3646,87.7%,8,11,1/192,1/456,1/331
678,-44,1944,99.2%,7,5,1/162,1/278,1/389
679,2214,6187,111.9%,32,20,1/119,1/193,1/309
680,-23,3484,99.8%,14,6,1/174,1/249,1/581
681,-701,4508,94.8%,15,8,1/196,1/301,1/564
682,4131,8813,115.6%,41,44,1/104,1/215,1/200
683,2193,9335,107.8%,39,41,1/117,1/239,1/228
689,-979,4593,92.9%,13,17,1/153,1/353,1/270
690,-672,6678,96.6%,21,25,1/145,1/318,1/267
691,-64,3886,99.5%,14,8,1/177,1/278,1/486
692,-970,4713,93.1%,13,16,1/163,1/363,1/295
693,632,3242,106.5%,16,7,1/141,1/203,1/463
694,2476,8263,110%,41,22,1/131,1/202,1/376
695,-135,3776,98.8%,12,15,1/140,1/315,1/252
696,-330,5305,97.9%,19,17,1/147,1/279,1/312
697,-465,5937,97.4%,19,19,1/156,1/312,1/312
698,-537,3920,95.4%,13,9,1/178,1/302,1/436
699,3849,8506,115.1%,42,40,1/104,1/203,1/213
700,-207,3212,97.9%,9,14,1/140,1/357,1/229
701,-580,2861,93.2%,11,4,1/191,1/260,1/715
平均,228,5149,101.5%,20,16,1/144,1/263,1/319
