台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,1086,7639,104.7%,33,21,1/141,1/231,1/364
545,-31,1508,99.3%,6,4,1/151,1/251,1/377
546,-775,1761,85.3%,4,4,1/220,1/440,1/440
547,-806,3562,92.5%,11,9,1/178,1/324,1/396
548,-1034,4027,91.4%,11,9,1/201,1/366,1/447
549,-385,2412,94.7%,8,3,1/219,1/302,1/804
550,-1088,5763,93.7%,16,19,1/165,1/360,1/303
551,-416,1649,91.6%,3,8,1/150,1/550,1/206
552,-419,4691,97%,15,17,1/147,1/313,1/276
553,526,3922,104.5%,14,19,1/119,1/280,1/206
554,-1198,1637,75.6%,3,2,1/327,1/546,1/819
555,-783,1522,82.9%,2,5,1/217,1/761,1/304
556,-904,3167,90.5%,9,9,1/176,1/352,1/352
557,1382,6434,107.2%,28,21,1/131,1/230,1/306
558,-1335,2029,78.1%,3,5,1/254,1/676,1/406
559,-1086,1106,67.3%,0,3,1/369,-,1/369
560,1520,3684,113.8%,20,10,1/123,1/184,1/368
561,-1120,3718,90%,10,8,1/207,1/372,1/465
562,-862,3143,90.9%,10,5,1/210,1/314,1/629
563,-709,4289,94.5%,13,14,1/159,1/330,1/306
564,97,3324,101%,12,10,1/151,1/277,1/332
565,-757,4104,93.9%,13,11,1/171,1/316,1/373
587,-1000,4073,91.8%,12,10,1/185,1/339,1/407
588,-566,1286,85.3%,2,5,1/184,1/643,1/257
589,416,4516,103.1%,18,14,1/141,1/251,1/323
590,2104,7038,110%,28,36,1/110,1/251,1/196
591,-433,3122,95.4%,9,8,1/184,1/347,1/390
592,407,5999,102.3%,21,25,1/130,1/286,1/240
593,-263,969,91%,4,0,1/242,1/242,-
594,-903,1249,75.9%,2,1,1/416,1/625,1/1249
595,415,6450,102.1%,25,19,1/147,1/258,1/339
596,63,3077,100.7%,11,11,1/140,1/280,1/280
597,2782,6427,114.4%,32,24,1/115,1/201,1/268
598,-20,912,99.3%,4,1,1/182,1/228,1/912
599,-1084,4333,91.7%,9,18,1/160,1/481,1/241
600,-255,2279,96.3%,6,11,1/134,1/380,1/207
601,3098,7873,113.1%,36,37,1/108,1/219,1/213
602,-168,182,69.2%,0,0,-,-,-
603,221,6190,101.2%,25,14,1/159,1/248,1/442
604,-950,4655,93.2%,15,11,1/179,1/310,1/423
605,-826,1758,84.3%,5,2,1/251,1/352,1/879
606,701,5732,104.1%,24,14,1/151,1/239,1/409
671,-478,667,76.1%,1,1,1/334,1/667,1/667
672,891,5940,105%,25,13,1/156,1/238,1/457
673,-496,1058,84.4%,3,0,1/353,1/353,-
674,-855,2616,89.1%,6,9,1/174,1/436,1/291
675,-722,4457,94.6%,15,9,1/186,1/297,1/495
676,-857,1315,78.3%,2,2,1/329,1/658,1/658
677,1044,7231,104.8%,31,18,1/148,1/233,1/402
678,-311,311,66.7%,0,0,-,-,-
679,-644,1999,89.3%,4,7,1/182,1/500,1/286
680,-711,3598,93.4%,10,10,1/180,1/360,1/360
681,-50,2540,99.3%,11,6,1/149,1/231,1/423
682,845,6399,104.4%,24,21,1/142,1/267,1/305
683,-641,1558,86.3%,4,2,1/260,1/390,1/779
689,1220,6943,105.9%,28,29,1/122,1/248,1/239
690,-795,593,55.3%,0,0,-,-,-
691,1066,5260,106.8%,20,19,1/135,1/263,1/277
692,701,3416,106.8%,15,11,1/131,1/228,1/311
693,1330,4712,109.4%,25,8,1/143,1/188,1/589
694,-422,548,74.3%,1,1,1/274,1/548,1/548
695,1151,6873,105.6%,29,24,1/130,1/237,1/286
696,-218,536,86.4%,1,1,1/268,1/536,1/536
697,-1208,3771,89.3%,11,9,1/189,1/343,1/419
698,-461,3345,95.4%,11,8,1/176,1/304,1/418
699,-76,1429,98.2%,7,1,1/179,1/204,1/1429
700,-223,3310,97.8%,12,10,1/150,1/276,1/331
701,-480,3438,95.3%,11,9,1/172,1/313,1/382
平均,-99,3486,99%,12,10,1/154,1/283,1/336
