台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,360,8369,101.4%,37,17,1/155,1/226,1/492
545,-370,322,61.7%,0,0,-,-,-
546,1252,6169,106.8%,26,19,1/137,1/237,1/325
547,-650,1204,82%,3,1,1/301,1/401,1/1204
548,-1464,4828,89.9%,14,10,1/201,1/345,1/483
549,-333,2297,95.2%,9,3,1/191,1/255,1/766
550,-928,3275,90.6%,8,9,1/193,1/409,1/364
551,-917,3020,89.9%,7,11,1/168,1/431,1/275
552,-176,3805,98.5%,15,7,1/173,1/254,1/544
553,48,1493,101.1%,4,9,1/115,1/373,1/166
554,3179,8019,113.2%,38,35,1/110,1/211,1/229
555,-62,1117,98.1%,3,4,1/160,1/372,1/279
556,1137,7226,105.2%,30,24,1/134,1/241,1/301
557,736,6102,104%,23,25,1/127,1/265,1/244
558,72,945,102.5%,3,4,1/135,1/315,1/236
559,-474,450,64.9%,0,1,1/450,-,1/450
560,420,8056,101.7%,28,33,1/132,1/288,1/244
561,255,1872,104.5%,9,5,1/134,1/208,1/374
562,-666,1913,88.4%,7,0,1/273,1/273,-
563,-398,2208,94%,8,4,1/184,1/276,1/552
564,979,2169,115%,11,9,1/108,1/197,1/241
565,-149,5009,99%,19,14,1/152,1/264,1/358
587,875,4961,105.9%,19,21,1/124,1/261,1/236
588,-166,1903,97.1%,7,5,1/159,1/272,1/381
589,-122,3945,99%,15,12,1/146,1/263,1/329
590,-822,2619,89.5%,6,8,1/187,1/437,1/327
591,136,4876,100.9%,19,14,1/148,1/257,1/348
592,432,2199,106.5%,9,7,1/137,1/244,1/314
593,1825,5762,110.6%,27,19,1/125,1/213,1/303
594,-210,333,79%,1,0,1/333,1/333,-
595,1101,7128,105.1%,26,37,1/113,1/274,1/193
596,-371,2527,95.1%,8,9,1/149,1/316,1/281
597,-432,624,76.9%,1,0,1/624,1/624,-
598,1385,6790,106.8%,26,31,1/119,1/261,1/219
599,284,2304,104.1%,10,5,1/154,1/230,1/461
600,672,2624,108.5%,15,3,1/146,1/175,1/875
601,-660,4914,95.5%,16,13,1/169,1/307,1/378
602,30,1022,101%,5,0,1/204,1/204,-
603,-877,3079,90.5%,9,6,1/205,1/342,1/513
604,79,4104,100.6%,16,14,1/137,1/257,1/293
605,-563,1321,85.8%,3,1,1/330,1/440,1/1321
606,-1489,3365,85.3%,8,7,1/224,1/421,1/481
671,636,2661,108%,15,2,1/157,1/177,1/1331
672,63,2508,100.8%,8,9,1/148,1/314,1/279
673,-242,3653,97.8%,12,15,1/135,1/304,1/244
674,-95,817,96.1%,2,3,1/163,1/409,1/272
675,3909,7485,117.4%,40,34,1/101,1/187,1/220
676,-515,1050,83.7%,1,5,1/175,1/1050,1/210
677,785,2692,109.7%,11,12,1/117,1/245,1/224
678,279,2659,103.5%,11,7,1/148,1/242,1/380
679,-552,1329,86.2%,3,2,1/266,1/443,1/665
680,-240,946,91.5%,3,0,1/315,1/315,-
681,-568,1515,87.5%,4,4,1/189,1/379,1/379
682,1826,4542,113.4%,25,10,1/130,1/182,1/454
683,-787,1331,80.3%,2,4,1/222,1/666,1/333
689,-205,4292,98.4%,15,12,1/159,1/286,1/358
690,-266,2319,96.2%,8,6,1/166,1/290,1/387
691,-6,3657,99.9%,14,11,1/146,1/261,1/332
692,-285,1209,92.1%,4,1,1/242,1/302,1/1209
693,-498,1224,86.4%,3,3,1/204,1/408,1/408
694,-314,2086,95%,8,3,1/190,1/261,1/695
695,-930,3443,91%,9,14,1/150,1/383,1/246
696,-113,1062,96.5%,3,3,1/177,1/354,1/354
697,-13,3143,99.9%,13,7,1/157,1/242,1/449
698,-198,814,91.9%,3,1,1/204,1/271,1/814
699,132,2735,101.6%,12,5,1/161,1/228,1/547
700,875,2793,110.4%,14,8,1/127,1/200,1/349
701,-606,559,63.9%,0,1,1/559,-,1/559
