台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-454,3958,96.2%,15,6,1/188,1/264,1/660
545,-551,747,75.4%,1,1,1/374,1/747,1/747
546,412,7453,101.8%,30,23,1/141,1/248,1/324
547,-617,3095,93.4%,7,10,1/182,1/442,1/310
548,-717,3187,92.5%,8,12,1/159,1/398,1/266
549,-1021,3992,91.5%,13,4,1/235,1/307,1/998
550,292,6422,101.5%,25,20,1/143,1/257,1/321
551,-171,1809,96.8%,5,6,1/164,1/362,1/302
552,-505,1435,88.3%,4,2,1/239,1/359,1/718
553,240,7107,101.1%,26,22,1/148,1/273,1/323
554,1260,2965,114.2%,15,11,1/114,1/198,1/270
555,1948,8014,108.1%,30,40,1/114,1/267,1/200
556,-1032,3230,89.3%,8,10,1/179,1/404,1/323
557,1362,6164,107.4%,27,21,1/128,1/228,1/294
558,762,3877,106.6%,18,9,1/144,1/215,1/431
559,-1051,2384,85.3%,4,6,1/238,1/596,1/397
560,-891,2404,87.6%,7,4,1/219,1/343,1/601
561,1487,6793,107.3%,28,29,1/119,1/243,1/234
562,-888,3064,90.3%,9,9,1/170,1/340,1/340
563,-909,5363,94.4%,15,18,1/163,1/358,1/298
564,-179,2474,97.6%,9,5,1/177,1/275,1/495
565,228,5812,101.3%,22,19,1/142,1/264,1/306
587,128,6708,100.6%,27,16,1/156,1/248,1/419
588,-1050,1789,80.4%,3,1,1/447,1/596,1/1789
589,-839,5878,95.2%,22,10,1/184,1/267,1/588
590,-1033,4568,92.5%,15,14,1/158,1/305,1/326
591,730,3972,106.1%,18,10,1/142,1/221,1/397
592,26,6789,100.1%,24,23,1/144,1/283,1/295
593,-374,1638,92.4%,6,3,1/182,1/273,1/546
594,-101,7631,99.6%,28,22,1/153,1/273,1/347
595,-344,1143,90%,3,3,1/191,1/381,1/381
596,628,4712,104.4%,21,7,1/168,1/224,1/673
597,-1319,2631,83.3%,5,6,1/239,1/526,1/439
598,-673,1852,87.9%,5,3,1/232,1/370,1/617
599,645,4678,104.6%,20,11,1/151,1/234,1/425
600,-25,6152,99.9%,23,16,1/158,1/267,1/385
601,1704,3444,116.5%,18,14,1/108,1/191,1/246
602,644,8701,102.5%,26,46,1/121,1/335,1/189
603,-845,2625,89.3%,7,7,1/188,1/375,1/375
604,-279,1359,93.2%,4,2,1/227,1/340,1/680
605,1823,6998,108.7%,31,25,1/125,1/226,1/280
606,1240,6123,106.8%,27,24,1/120,1/227,1/255
671,39,4117,100.3%,15,10,1/165,1/274,1/412
672,-214,2509,97.2%,10,4,1/179,1/251,1/627
673,-286,664,85.6%,2,0,1/332,1/332,-
674,639,5116,104.2%,21,16,1/138,1/244,1/320
675,1153,7391,105.2%,28,31,1/125,1/264,1/238
676,415,4189,103.3%,18,11,1/144,1/233,1/381
677,278,3140,103%,15,4,1/165,1/209,1/785
678,-633,5226,96%,17,18,1/149,1/307,1/290
679,-527,1513,88.4%,5,1,1/252,1/303,1/1513
680,-921,1281,76%,3,1,1/320,1/427,1/1281
681,-2044,4787,85.8%,10,14,1/199,1/479,1/342
682,-458,2760,94.5%,8,8,1/173,1/345,1/345
683,-829,6182,95.5%,19,18,1/167,1/325,1/343
689,1877,8261,107.6%,38,25,1/131,1/217,1/330
690,-570,543,65%,0,1,1/543,-,1/543
691,-625,4513,95.4%,12,17,1/156,1/376,1/265
692,-387,735,82.4%,1,2,1/245,1/735,1/368
693,-615,7319,97.2%,27,15,1/174,1/271,1/488
694,-386,2685,95.2%,6,11,1/158,1/448,1/244
695,-1404,3283,85.7%,8,6,1/235,1/410,1/547
696,-578,2087,90.8%,6,4,1/209,1/348,1/522
697,-884,2296,87.2%,5,5,1/230,1/459,1/459
698,-346,2469,95.3%,8,7,1/165,1/309,1/353
699,2714,8801,110.3%,39,35,1/119,1/226,1/251
700,-614,615,66.7%,0,2,1/308,-,1/308
701,183,1970,103.1%,9,4,1/152,1/219,1/493
平均,-78,4053,99.4%,15,12,1/152,1/279,1/336
