台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,1044,8124,104.3%,35,21,1/145,1/232,1/387
545,801,6747,104%,24,25,1/138,1/281,1/270
546,-1574,4668,88.8%,12,8,1/233,1/389,1/584
547,-750,4035,93.8%,13,11,1/168,1/310,1/367
548,-856,1486,80.8%,4,2,1/248,1/372,1/743
549,-972,2589,87.5%,7,3,1/259,1/370,1/863
550,-1368,3485,86.9%,9,6,1/232,1/387,1/581
551,-872,3024,90.4%,9,6,1/202,1/336,1/504
552,-1463,2724,82.1%,7,4,1/248,1/389,1/681
553,362,5423,102.2%,20,17,1/147,1/271,1/319
554,2570,7428,111.5%,33,34,1/111,1/225,1/218
555,1183,5287,107.5%,20,21,1/129,1/264,1/252
556,781,4978,105.2%,24,10,1/146,1/207,1/498
557,-1619,4104,86.9%,10,9,1/216,1/410,1/456
558,695,4983,104.6%,24,8,1/156,1/208,1/623
559,-42,2801,99.5%,12,3,1/187,1/233,1/934
560,-1392,3592,87.1%,9,9,1/200,1/399,1/399
561,-72,4405,99.5%,17,12,1/152,1/259,1/367
562,-380,1249,89.9%,4,1,1/250,1/312,1/1249
563,961,8658,103.7%,31,44,1/115,1/279,1/197
564,307,2907,103.5%,12,8,1/145,1/242,1/363
565,543,5870,103.1%,27,7,1/173,1/217,1/839
587,-1455,2693,82%,5,5,1/269,1/539,1/539
588,2309,6912,111.1%,33,23,1/123,1/209,1/301
589,1789,6390,109.3%,31,20,1/125,1/206,1/320
590,-263,3958,97.8%,15,8,1/172,1/264,1/495
591,-786,4728,94.5%,16,9,1/189,1/296,1/525
592,-757,2695,90.6%,8,5,1/207,1/337,1/539
593,2144,7382,109.7%,41,13,1/137,1/180,1/568
594,-1334,5179,91.4%,15,13,1/185,1/345,1/398
595,1770,4942,111.9%,27,9,1/137,1/183,1/549
596,-124,3918,98.9%,16,9,1/157,1/245,1/435
597,910,7389,104.1%,32,22,1/137,1/231,1/336
598,1750,7284,108%,29,31,1/121,1/251,1/235
599,2828,8708,110.8%,39,39,1/112,1/223,1/223
600,1631,5830,109.3%,28,15,1/136,1/208,1/389
601,-555,1328,86.1%,4,1,1/266,1/332,1/1328
602,2452,6996,111.7%,34,20,1/130,1/206,1/350
603,37,4155,100.3%,17,7,1/173,1/244,1/594
604,-1585,2767,80.9%,6,3,1/307,1/461,1/922
605,-562,1779,89.5%,6,2,1/222,1/297,1/890
606,-1138,6462,94.1%,22,13,1/185,1/294,1/497
671,-1410,1237,62%,1,0,1/1237,1/1237,-
672,-488,5878,97.2%,24,11,1/168,1/245,1/534
673,313,4909,102.1%,19,17,1/136,1/258,1/289
674,-3,4091,100%,17,8,1/164,1/241,1/511
675,-174,6031,99%,20,20,1/151,1/302,1/302
676,-1668,2218,74.9%,3,4,1/317,1/739,1/555
677,-881,1693,82.7%,5,1,1/282,1/339,1/1693
678,179,4598,101.3%,16,20,1/128,1/287,1/230
679,-900,7010,95.7%,20,24,1/159,1/351,1/292
680,-1196,1329,70%,1,3,1/332,1/1329,1/443
681,-1125,4546,91.8%,14,10,1/189,1/325,1/455
682,-984,3767,91.3%,11,9,1/188,1/342,1/419
683,-623,6735,96.9%,23,16,1/173,1/293,1/421
689,-1671,4833,88.5%,13,8,1/230,1/372,1/604
690,1521,9174,105.5%,36,38,1/124,1/255,1/241
691,770,3801,106.8%,20,7,1/141,1/190,1/543
692,-785,4315,93.9%,13,11,1/180,1/332,1/392
693,98,3402,101%,14,7,1/162,1/243,1/486
694,-175,4530,98.7%,18,9,1/168,1/252,1/503
695,-591,2653,92.6%,8,5,1/204,1/332,1/531
696,-316,6079,98.3%,24,10,1/179,1/253,1/608
697,1113,7997,104.6%,32,24,1/143,1/250,1/333
698,2996,7171,113.9%,34,32,1/109,1/211,1/224
699,1315,7467,105.9%,35,18,1/141,1/213,1/415
700,385,4034,103.2%,19,3,1/183,1/212,1/1345
701,1255,6516,106.4%,28,22,1/130,1/233,1/296
平均,57,4795,100.4%,18,13,1/153,1/260,1/374
