台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1359,6641,93.2,21,20,1/162,1/316,1/332
545,-14,906,99.5,4,1,1/181,1/227,1/906
546,530,6855,102.6,25,21,1/149,1/274,1/326
547,-276,6039,98.5,20,20,1/151,1/302,1/302
548,-619,959,78.5,1,3,1/240,1/959,1/320
549,-372,3145,96.1,10,8,1/175,1/315,1/393
550,-649,1026,78.9,2,1,1/342,1/513,1/1026
551,-1226,3475,88.2,10,6,1/217,1/348,1/579
552,-393,974,86.6,3,1,1/244,1/325,1/974
553,840,4975,105.6,23,13,1/138,1/216,1/383
554,154,2871,101.8,12,7,1/151,1/239,1/410
555,-610,2612,92.2,7,5,1/218,1/373,1/522
556,-1227,2932,86.1,6,9,1/195,1/489,1/326
557,-63,1596,98.7,6,2,1/200,1/266,1/798
558,836,4541,106.1,19,14,1/138,1/239,1/324
559,-714,789,69.8,0,2,1/395,-,1/395
560,-725,2641,90.8,5,11,1/165,1/528,1/240
561,3185,3846,127.6,25,17,1/92,1/154,1/226
562,-638,2632,91.9,8,9,1/155,1/329,1/292
563,-9,3859,99.9,16,8,1/161,1/241,1/482
564,-415,1601,91.4,5,2,1/229,1/320,1/801
565,-775,2900,91.1,9,4,1/223,1/322,1/725
587,-721,1993,87.9,5,5,1/199,1/399,1/399
588,-25,3386,99.8,12,12,1/141,1/282,1/282
589,-689,6134,96.3,19,20,1/157,1/323,1/307
590,-804,1750,84.7,5,1,1/292,1/350,1/1750
591,-383,1068,88.0,3,3,1/178,1/356,1/356
592,44,3219,100.5,15,4,1/169,1/215,1/805
593,-285,634,85.0,1,2,1/211,1/634,1/317
594,-693,646,64.2,0,0,-,-,-
595,1774,7079,108.4,31,24,1/129,1/228,1/295
596,-420,1326,89.4,4,1,1/265,1/332,1/1326
597,-493,3621,95.5,12,9,1/172,1/302,1/402
598,-55,805,97.7,3,1,1/201,1/268,1/805
599,-1066,4566,92.2,15,9,1/190,1/304,1/507
600,-713,700,66.0,0,1,1/700,-,1/700
601,-749,2600,90.4,9,4,1/200,1/289,1/650
602,-696,1129,79.5,2,1,1/376,1/565,1/1129
603,616,5502,103.7,22,16,1/145,1/250,1/344
604,-134,854,94.8,4,1,1/171,1/214,1/854
605,990,3985,108.3,18,12,1/133,1/221,1/332
606,909,5046,106.0,24,9,1/153,1/210,1/561
671,2288,4287,117.8,27,8,1/122,1/159,1/536
672,-1089,4043,91.0,11,12,1/176,1/368,1/337
673,-193,1250,94.9,5,1,1/208,1/250,1/1250
674,-512,2452,93.0,6,11,1/144,1/409,1/223
675,-305,695,85.4,1,2,1/232,1/695,1/348
676,478,4346,103.7,17,12,1/150,1/256,1/362
677,-111,2360,98.4,8,7,1/157,1/295,1/337
678,-652,492,55.8,0,0,-,-,-
679,-310,5461,98.1,18,22,1/137,1/303,1/248
680,902,5178,105.8,20,23,1/120,1/259,1/225
681,-455,1591,90.5,4,7,1/145,1/398,1/227
682,226,3146,102.4,13,8,1/150,1/242,1/393
683,-1544,4272,88.0,13,5,1/237,1/329,1/854
689,-721,1347,82.2,4,0,1/337,1/337,-
690,-221,1415,94.8,5,2,1/202,1/283,1/708
691,411,5093,102.7,20,19,1/131,1/255,1/268
692,-702,490,52.2,0,0,-,-,-
693,570,1245,115.3,8,2,1/125,1/156,1/623
694,22,3860,100.2,11,17,1/138,1/351,1/227
695,-1023,1631,79.1,2,4,1/272,1/816,1/408
696,-407,5152,97.4,18,15,1/156,1/286,1/343
697,-1018,1040,67.4,0,3,1/347,-,1/347
698,-1527,2706,81.2,6,4,1/271,1/451,1/677
699,-573,1540,87.6,4,3,1/220,1/385,1/513
700,806,2407,111.2,11,10,1/115,1/219,1/241
701,-382,490,74.0,0,2,1/245,-,1/245
平均,-208,2821,97.5,10,8,1/161,1/285,1/370
