台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,658,8356,102.6%,35,23,1/144,1/239,1/363
545,-450,5286,97.2%,19,13,1/165,1/278,1/407
546,-506,5456,96.9%,18,18,1/152,1/303,1/303
547,-520,5231,96.7%,15,18,1/159,1/349,1/291
548,-708,7321,96.8%,26,22,1/153,1/282,1/333
549,-57,4581,99.6%,20,6,1/176,1/229,1/764
550,163,5970,100.9%,24,14,1/157,1/249,1/426
551,-1163,3639,89.3%,7,15,1/165,1/520,1/243
552,875,7844,103.7%,28,35,1/125,1/280,1/224
553,509,5099,103.3%,21,18,1/131,1/243,1/283
554,-1261,2184,80.8%,3,3,1/364,1/728,1/728
555,2217,9168,108.1%,36,36,1/127,1/255,1/255
556,2077,6836,110.1%,32,22,1/127,1/214,1/311
557,2768,8462,110.9%,39,35,1/114,1/217,1/242
558,433,4784,103.0%,22,8,1/159,1/217,1/598
559,628,5338,103.9%,23,12,1/153,1/232,1/445
560,1049,6804,105.1%,30,20,1/136,1/227,1/340
561,-1128,2743,86.3%,7,6,1/211,1/392,1/457
562,-296,7283,98.6%,24,25,1/149,1/303,1/291
563,-1675,6546,91.5%,19,17,1/182,1/345,1/385
564,476,3700,104.3%,17,6,1/161,1/218,1/617
565,-432,6925,97.9%,23,21,1/157,1/301,1/330
587,79,7463,100.4%,28,22,1/149,1/267,1/339
588,-1578,6492,91.9%,20,15,1/185,1/325,1/433
589,-121,5861,99.3%,22,21,1/136,1/266,1/279
590,-640,5778,96.3%,20,15,1/165,1/289,1/385
591,-937,4710,93.4%,16,8,1/196,1/294,1/589
592,-1037,3362,89.7%,8,12,1/168,1/420,1/280
593,1172,6599,105.9%,28,19,1/140,1/236,1/347
594,1474,5531,108.9%,27,15,1/132,1/205,1/369
595,2243,8035,109.3%,36,36,1/112,1/223,1/223
596,-1492,4787,89.6%,15,8,1/208,1/319,1/598
597,1223,5560,107.3%,24,21,1/124,1/232,1/265
598,1281,6834,106.2%,31,23,1/127,1/220,1/297
599,366,6027,102.0%,23,21,1/137,1/262,1/287
600,320,5062,102.1%,22,10,1/158,1/230,1/506
601,2801,8691,110.7%,43,27,1/124,1/202,1/322
602,91,5316,100.6%,21,10,1/171,1/253,1/532
603,-582,7098,97.3%,21,29,1/142,1/338,1/245
604,941,8851,103.5%,30,46,1/116,1/295,1/192
605,96,5512,100.6%,18,22,1/138,1/306,1/251
606,-18,6981,99.9%,26,25,1/137,1/269,1/279
671,-1638,4452,87.7%,12,8,1/223,1/371,1/557
672,-1075,6146,94.2%,17,25,1/146,1/362,1/246
673,617,7457,102.8%,30,22,1/143,1/249,1/339
674,-1474,3062,84.0%,7,5,1/255,1/437,1/612
675,1016,7401,104.6%,29,27,1/132,1/255,1/274
676,-1056,2826,87.5%,7,8,1/188,1/404,1/353
677,-296,5959,98.3%,24,11,1/170,1/248,1/542
678,292,6032,101.6%,22,18,1/151,1/274,1/335
679,1382,8259,105.6%,37,23,1/138,1/223,1/359
680,784,5152,105.1%,23,12,1/147,1/224,1/429
681,-564,3706,94.9%,9,13,1/168,1/412,1/285
682,1344,6415,107.0%,29,22,1/126,1/221,1/292
683,-2039,4930,86.2%,13,10,1/214,1/379,1/493
689,-873,8420,96.5%,23,40,1/134,1/366,1/211
690,1677,8757,106.4%,39,28,1/131,1/225,1/313
691,2174,4931,114.7%,26,17,1/115,1/190,1/290
692,-1561,6112,91.5%,20,11,1/197,1/306,1/556
693,-928,3826,91.9%,11,8,1/201,1/348,1/478
694,-1071,2586,86.2%,7,2,1/287,1/369,1/1293
695,-304,6846,98.5%,24,21,1/152,1/285,1/326
696,-263,5150,98.3%,21,8,1/178,1/245,1/644
697,171,4412,101.3%,17,12,1/152,1/260,1/368
698,1262,7884,105.3%,33,27,1/131,1/239,1/292
699,-64,5457,99.6%,22,15,1/147,1/248,1/364
700,-154,4453,98.8%,14,16,1/148,1/318,1/278
701,-979,5022,93.5%,16,11,1/186,1/314,1/457
平均,84,5879,100.5%,22,18,1/147,1/267,1/328
