台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-56,6371,99.7,22,17,1/163,1/290,1/375
545,-284,5534,98.3,15,27,1/132,1/369,1/205
546,138,2812,101.6,11,11,1/128,1/256,1/256
547,-479,1696,90.6,6,1,1/242,1/283,1/1696
548,38,3785,100.3,15,8,1/165,1/252,1/473
549,-693,1336,82.7,3,3,1/223,1/445,1/445
550,-721,4592,94.8,12,18,1/153,1/383,1/255
551,-160,534,90.0,1,2,1/178,1/534,1/267
552,1438,6533,107.3,31,16,1/139,1/211,1/408
553,-705,803,70.7,1,2,1/268,1/803,1/402
554,119,3535,101.1,13,15,1/126,1/272,1/236
555,1066,4718,107.5,18,21,1/121,1/262,1/225
556,-631,2681,92.2,7,11,1/149,1/383,1/244
557,-223,2826,97.4,9,8,1/166,1/314,1/353
558,1748,8543,106.8,35,35,1/122,1/244,1/244
559,-688,2047,88.8,5,5,1/205,1/409,1/409
560,334,3375,103.3,12,13,1/135,1/281,1/260
561,-496,881,81.2,3,0,1/294,1/294,-
562,692,4136,105.6,16,15,1/133,1/259,1/276
563,-846,1861,84.8,4,4,1/233,1/465,1/465
564,-710,728,67.5,1,0,1/728,1/728,-
565,-876,2728,89.3,7,6,1/210,1/390,1/455
587,-669,3800,94.1,12,9,1/181,1/317,1/422
588,779,5855,104.4,23,22,1/130,1/255,1/266
589,2192,5530,113.2,26,24,1/111,1/213,1/230
590,83,5051,100.5,15,24,1/130,1/337,1/210
591,-1826,3329,81.7,6,10,1/208,1/555,1/333
592,-724,3056,92.1,8,10,1/170,1/382,1/306
593,-1050,2194,84.0,5,5,1/219,1/439,1/439
594,-850,2507,88.7,8,1,1/279,1/313,1/2507
595,-231,1101,93.0,3,3,1/184,1/367,1/367
596,135,2687,101.7,12,5,1/158,1/224,1/537
597,-214,357,80.0,1,0,1/357,1/357,-
598,1535,5421,109.4,25,16,1/132,1/217,1/339
599,-362,866,86.1,2,1,1/289,1/433,1/866
600,265,1304,106.8,6,3,1/145,1/217,1/435
601,2056,6866,110.0,33,17,1/137,1/208,1/404
602,42,2033,100.7,9,2,1/185,1/226,1/1017
603,-587,1138,82.8,2,2,1/285,1/569,1/569
604,549,4460,104.1,15,20,1/127,1/297,1/223
605,-457,882,82.7,3,0,1/294,1/294,-
606,1634,5535,109.8,27,19,1/120,1/205,1/291
671,-373,707,82.4,2,0,1/354,1/354,-
672,-1070,2764,87.1,7,8,1/184,1/395,1/346
673,323,4421,102.4,16,15,1/143,1/276,1/295
674,-145,790,93.9,2,3,1/158,1/395,1/263
675,-179,1495,96.0,4,4,1/187,1/374,1/374
676,2100,6280,111.1,29,29,1/108,1/217,1/217
677,256,1043,108.2,5,4,1/116,1/209,1/261
678,644,4136,105.2,18,13,1/133,1/230,1/318
679,-308,2738,96.3,10,7,1/161,1/274,1/391
680,-270,956,90.6,3,1,1/239,1/319,1/956
681,-419,6001,97.7,21,18,1/154,1/286,1/333
682,-51,1271,98.7,5,1,1/212,1/254,1/1271
683,1186,6099,106.5,27,17,1/139,1/226,1/359
689,-411,1320,89.6,3,3,1/220,1/440,1/440
690,-727,1087,77.7,1,3,1/272,1/1087,1/362
691,-571,5198,96.3,15,18,1/158,1/347,1/289
692,-191,3019,97.9,10,9,1/159,1/302,1/335
693,434,6111,102.4,26,18,1/139,1/235,1/340
694,485,1819,108.9,9,5,1/130,1/202,1/364
695,1175,5631,107.0,24,19,1/131,1/235,1/296
696,-378,480,73.8,1,0,1/480,1/480,-
697,654,4707,104.6,18,20,1/124,1/262,1/235
698,-461,838,81.7,1,2,1/279,1/838,1/419
699,-122,5005,99.2,17,18,1/143,1/294,1/278
700,-137,2016,97.7,7,5,1/168,1/288,1/403
701,-755,927,72.9,1,1,1/464,1/927,1/927
平均,15,3131,100.2,11,10,1/148,1/276,1/317
