台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-697,3880,94%,13,5,1/216,1/298,1/776
545,-26,4128,99.8%,15,12,1/153,1/275,1/344
546,-469,947,83.5%,2,1,1/316,1/474,1/947
547,628,4514,104.6%,20,15,1/129,1/226,1/301
548,1484,6628,107.5%,27,27,1/123,1/245,1/245
549,1201,4485,108.9%,17,24,1/109,1/264,1/187
550,-1119,2394,84.4%,5,8,1/184,1/479,1/299
551,-309,1760,94.1%,5,5,1/176,1/352,1/352
552,-382,2077,93.9%,6,2,1/260,1/346,1/1039
553,-864,2576,88.8%,6,6,1/215,1/429,1/429
554,-926,1382,77.7%,2,1,1/461,1/691,1/1382
555,-233,1660,95.3%,7,1,1/208,1/237,1/1660
556,-1176,1906,79.4%,4,3,1/272,1/477,1/635
557,-555,733,74.8%,1,1,1/367,1/733,1/733
558,-738,2793,91.2%,8,6,1/200,1/349,1/466
559,-557,1095,83%,3,0,1/365,1/365,-
560,-839,2615,89.3%,6,8,1/187,1/436,1/327
561,1431,4532,110.5%,22,14,1/126,1/206,1/324
562,-457,1075,85.8%,3,2,1/215,1/358,1/538
563,695,5950,103.9%,21,26,1/127,1/283,1/229
564,-478,369,56.8%,0,0,-,-,-
565,954,6845,104.6%,30,18,1/143,1/228,1/380
587,-77,4518,99.4%,17,10,1/167,1/266,1/452
588,-784,1717,84.8%,4,5,1/191,1/429,1/343
589,-298,5685,98.3%,23,11,1/167,1/247,1/517
590,-292,216,54.9%,0,0,-,-,-
591,-1087,8892,95.9%,24,30,1/165,1/371,1/296
592,-703,4479,94.8%,12,16,1/160,1/373,1/280
593,-331,1333,91.7%,3,6,1/148,1/444,1/222
594,-734,4244,94.2%,14,9,1/185,1/303,1/472
595,490,2468,106.6%,11,5,1/154,1/224,1/494
596,344,2040,105.6%,8,6,1/146,1/255,1/340
597,1686,6940,108.1%,30,19,1/142,1/231,1/365
598,866,4709,106.1%,20,16,1/131,1/235,1/294
599,-1139,2693,85.9%,5,10,1/180,1/539,1/269
600,-984,2032,83.9%,4,4,1/254,1/508,1/508
601,0,2930,100%,12,6,1/163,1/244,1/488
602,-862,4956,94.2%,15,14,1/171,1/330,1/354
603,-360,1179,89.8%,3,4,1/168,1/393,1/295
604,-570,4426,95.7%,16,10,1/170,1/277,1/443
605,-64,2559,99.2%,8,11,1/135,1/320,1/233
606,675,5983,103.8%,25,20,1/133,1/239,1/299
671,1400,5159,109%,24,12,1/143,1/215,1/430
672,-428,3174,95.5%,10,9,1/167,1/317,1/353
673,-1393,4342,89.3%,11,12,1/189,1/395,1/362
674,-699,971,76%,2,2,1/243,1/486,1/486
675,-422,1155,87.8%,4,1,1/231,1/289,1/1155
676,27,4407,100.2%,16,14,1/147,1/275,1/315
677,-614,1480,86.2%,4,3,1/211,1/370,1/493
678,-100,4489,99.3%,15,16,1/145,1/299,1/281
679,1928,4828,113.3%,27,10,1/130,1/179,1/483
680,-964,1320,75.7%,3,2,1/264,1/440,1/660
681,429,2901,104.9%,14,6,1/145,1/207,1/484
682,2926,7657,112.7%,34,42,1/101,1/225,1/182
683,-587,845,76.8%,2,0,1/423,1/423,-
689,3325,6046,118.3%,31,29,1/101,1/195,1/208
690,868,3930,107.4%,19,10,1/136,1/207,1/393
691,-854,2445,88.4%,5,6,1/222,1/489,1/408
692,-969,1223,73.6%,2,2,1/306,1/612,1/612
693,-204,1393,95.1%,6,1,1/199,1/232,1/1393
694,927,6380,104.8%,26,24,1/128,1/245,1/266
695,-439,1925,92.4%,7,2,1/214,1/275,1/963
696,-443,1926,92.3%,6,4,1/193,1/321,1/482
697,205,2809,102.4%,12,7,1/148,1/234,1/401
698,598,4617,104.3%,22,9,1/149,1/210,1/513
699,-347,263,56%,0,0,-,-,-
700,920,8191,103.7%,27,41,1/120,1/303,1/200
701,-722,689,65.1%,1,0,1/689,1/689,-
平均,-48,3278,99.5%,12,10,1/152,1/276,1/337
