台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-331,3539,96.9%,11,11,1/161,1/322,1/322
545,2251,4367,117.2%,24,15,1/112,1/182,1/291
546,31,1225,100.8%,5,4,1/136,1/245,1/306
547,-45,6440,99.8%,22,25,1/137,1/293,1/258
548,-425,1364,89.6%,4,2,1/227,1/341,1/682
549,-6,3016,99.9%,13,6,1/159,1/232,1/503
550,444,3897,103.8%,14,14,1/139,1/278,1/278
551,-306,2943,96.5%,10,9,1/155,1/294,1/327
552,928,1572,119.7%,9,5,1/112,1/175,1/314
553,-1878,3031,79.3%,3,8,1/276,1/1010,1/379
554,-468,718,78.3%,0,4,1/180,-,1/180
555,1315,5991,107.3%,23,25,1/125,1/260,1/240
556,2779,7311,112.7%,28,46,1/99,1/261,1/159
557,980,5737,105.7%,19,31,1/115,1/302,1/185
558,-164,842,93.5%,3,1,1/211,1/281,1/842
559,-561,413,54.7%,0,0,-,-,-
560,-709,3318,92.9%,11,10,1/158,1/302,1/332
561,-1103,1589,76.9%,2,4,1/265,1/795,1/397
562,239,2927,102.7%,13,7,1/146,1/225,1/418
563,526,3855,104.5%,17,9,1/148,1/227,1/428
564,97,1266,102.6%,5,5,1/127,1/253,1/253
565,-647,2458,91.2%,6,10,1/154,1/410,1/246
587,-338,3304,96.6%,12,6,1/184,1/275,1/551
588,-279,624,85.1%,1,2,1/208,1/624,1/312
589,1909,5831,110.9%,28,15,1/136,1/208,1/389
590,-414,1892,92.7%,5,6,1/172,1/378,1/315
591,-650,907,76.1%,1,2,1/302,1/907,1/454
592,967,5140,106.3%,24,10,1/151,1/214,1/514
593,-292,305,68.1%,0,1,1/305,-,1/305
594,876,4731,106.2%,20,17,1/128,1/237,1/278
595,-557,1123,83.5%,2,4,1/187,1/562,1/281
596,151,6536,100.8%,23,28,1/128,1/284,1/233
597,-78,484,94.6%,1,1,1/242,1/484,1/484
598,1291,6101,107.1%,26,21,1/130,1/235,1/291
599,-358,281,57.5%,0,0,-,-,-
600,-1008,1879,82.1%,4,5,1/209,1/470,1/376
601,1083,1716,121%,9,8,1/101,1/191,1/215
602,-1369,2531,82%,5,6,1/230,1/506,1/422
603,-837,4164,93.3%,15,8,1/181,1/278,1/521
604,-636,512,58.6%,0,0,-,-,-
605,792,6288,104.2%,25,25,1/126,1/252,1/252
606,626,3262,106.4%,15,9,1/136,1/217,1/362
671,899,4938,106.1%,23,14,1/133,1/215,1/353
672,67,2128,101%,7,9,1/133,1/304,1/236
673,-626,1998,89.6%,5,7,1/167,1/400,1/285
674,322,2955,103.6%,13,8,1/141,1/227,1/369
675,1416,6755,107%,26,32,1/116,1/260,1/211
676,-280,444,79%,0,3,1/148,-,1/148
677,-1111,2680,86.2%,7,4,1/244,1/383,1/670
678,1022,5725,106%,24,19,1/133,1/239,1/301
679,-263,453,80.6%,1,0,1/453,1/453,-
680,-794,1217,78.3%,3,0,1/406,1/406,-
681,-661,584,62.3%,0,0,-,-,-
682,51,3079,100.6%,14,5,1/162,1/220,1/616
683,791,3514,107.5%,16,6,1/160,1/220,1/586
689,-1301,2403,82%,5,5,1/240,1/481,1/481
690,-496,737,77.6%,1,1,1/369,1/737,1/737
691,777,5971,104.3%,22,21,1/139,1/271,1/284
692,-543,947,80.9%,2,2,1/237,1/474,1/474
693,-295,3391,97.1%,8,18,1/130,1/424,1/188
694,1640,8024,106.8%,35,30,1/123,1/229,1/267
695,-157,141,62.9%,0,0,-,-,-
696,-160,1375,96.1%,5,1,1/229,1/275,1/1375
697,726,4904,104.9%,22,12,1/144,1/223,1/409
698,-517,692,75.1%,1,2,1/231,1/692,1/346
699,-373,538,76.9%,1,1,1/269,1/538,1/538
700,263,4622,101.9%,18,12,1/154,1/257,1/385
701,15,658,100.8%,3,0,1/219,1/219,-
