台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-298,7809,98.7%,25,34,1/132,1/312,1/230
545,1785,7832,107.6%,30,34,1/122,1/261,1/230
546,-1651,5495,90.0%,14,13,1/204,1/393,1/423
547,-1035,1821,81.1%,4,3,1/260,1/455,1/607
548,711,7936,103.0%,28,30,1/137,1/283,1/265
549,1276,6268,106.8%,27,21,1/131,1/232,1/298
550,1401,3961,111.8%,21,10,1/128,1/189,1/396
551,-349,2672,95.6%,9,7,1/167,1/297,1/382
552,1395,7330,106.3%,27,36,1/116,1/271,1/204
553,-1180,4256,90.8%,11,12,1/185,1/387,1/355
554,-1547,3701,86.1%,10,5,1/247,1/370,1/740
555,1883,7586,108.3%,33,29,1/122,1/230,1/262
556,-594,1021,80.6%,2,1,1/340,1/511,1/1021
557,-681,4692,95.2%,16,14,1/156,1/293,1/335
558,-960,5439,94.1%,18,15,1/165,1/302,1/363
559,-699,4653,95.0%,16,8,1/194,1/291,1/582
560,183,3138,101.9%,12,8,1/157,1/262,1/392
561,-505,2351,92.8%,8,4,1/196,1/294,1/588
562,993,7551,104.4%,30,26,1/135,1/252,1/290
563,2315,7585,110.2%,37,30,1/113,1/205,1/253
564,1784,8599,106.9%,32,41,1/118,1/269,1/210
565,2301,8361,109.2%,35,35,1/119,1/239,1/239
587,786,6885,103.8%,30,19,1/141,1/230,1/362
588,-245,4241,98.1%,14,15,1/146,1/303,1/283
589,1534,6860,107.5%,31,23,1/127,1/221,1/298
590,1042,6551,105.3%,30,17,1/139,1/218,1/385
591,-626,1785,88.3%,5,1,1/298,1/357,1/1785
592,52,6226,100.3%,20,24,1/142,1/311,1/259
593,3389,7842,114.4%,36,39,1/105,1/218,1/201
594,563,6464,102.9%,26,18,1/147,1/249,1/359
595,-628,2238,90.6%,7,6,1/172,1/320,1/373
596,-859,5752,95.0%,19,15,1/169,1/303,1/383
597,200,5754,101.2%,21,19,1/144,1/274,1/303
598,-1654,2548,78.4%,5,2,1/364,1/510,1/1274
599,-419,4918,97.2%,17,13,1/164,1/289,1/378
600,-736,5920,95.9%,17,21,1/156,1/348,1/282
601,-1128,3222,88.3%,9,10,1/170,1/358,1/322
602,1644,8050,106.8%,31,39,1/115,1/260,1/206
603,-428,5697,97.5%,18,22,1/142,1/317,1/259
604,-1178,2106,81.4%,4,4,1/263,1/527,1/527
605,1555,6329,108.2%,29,23,1/122,1/218,1/275
606,255,7374,101.2%,27,20,1/157,1/273,1/369
671,36,3266,100.4%,14,9,1/142,1/233,1/363
672,761,4029,106.3%,20,8,1/144,1/201,1/504
673,1135,5738,106.6%,23,23,1/125,1/249,1/249
674,-623,2591,92.0%,9,4,1/199,1/288,1/648
675,-308,3768,97.3%,14,11,1/151,1/269,1/343
676,436,2973,104.9%,13,5,1/165,1/229,1/595
677,213,5351,101.3%,21,15,1/149,1/255,1/357
678,-597,3937,94.9%,11,12,1/171,1/358,1/328
679,279,5302,101.8%,21,16,1/143,1/252,1/331
680,-1305,2105,79.3%,3,4,1/301,1/702,1/526
681,-480,3731,95.7%,13,5,1/207,1/287,1/746
682,-391,6991,98.1%,27,16,1/163,1/259,1/437
683,642,7365,102.9%,26,29,1/134,1/283,1/254
689,-826,3600,92.4%,11,7,1/200,1/327,1/514
690,803,6501,104.1%,31,11,1/155,1/210,1/591
691,-928,2935,89.5%,9,7,1/183,1/326,1/419
692,2615,6331,113.8%,32,25,1/111,1/198,1/253
693,0,3139,100.0%,12,9,1/149,1/262,1/349
694,1563,6286,108.3%,28,22,1/126,1/225,1/286
695,568,4834,103.9%,20,13,1/146,1/242,1/372
696,-779,2682,90.3%,6,10,1/168,1/447,1/268
697,-949,2142,85.2%,5,7,1/179,1/428,1/306
698,528,5271,103.3%,21,18,1/135,1/251,1/293
699,421,3043,104.6%,15,4,1/160,1/203,1/761
700,-61,2566,99.2%,10,4,1/183,1/257,1/642
701,384,2982,104.3%,14,3,1/175,1/213,1/994
平均,188,4945,101.3%,19,16,1/144,1/265,1/316
