台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-572,2154,91.1%,6,7,1/166,1/359,1/308
545,-665,5648,96.1%,19,16,1/161,1/297,1/353
546,-64,513,95.8%,2,0,1/257,1/257,-
547,-1455,4068,88.1%,12,7,1/214,1/339,1/581
548,-364,1125,89.2%,3,2,1/225,1/375,1/563
549,-409,2138,93.6%,7,4,1/194,1/305,1/535
550,632,3195,106.6%,15,10,1/128,1/213,1/320
551,-325,471,77.0%,1,0,1/471,1/471,-
552,843,3560,107.9%,17,9,1/137,1/209,1/396
553,-1052,3610,90.3%,11,7,1/201,1/328,1/516
554,-261,3227,97.3%,12,8,1/161,1/269,1/403
555,2053,7285,109.4%,31,25,1/130,1/235,1/291
556,-210,2101,96.7%,8,4,1/175,1/263,1/525
557,-181,1167,94.8%,5,0,1/233,1/233,-
558,-1298,3128,86.2%,6,12,1/174,1/521,1/261
559,-390,445,70.8%,1,0,1/445,1/445,-
560,-699,829,71.9%,1,1,1/415,1/829,1/829
561,-909,841,64.0%,1,0,1/841,1/841,-
562,392,5258,102.5%,20,17,1/142,1/263,1/309
563,-62,2946,99.3%,9,12,1/140,1/327,1/246
564,1868,7225,108.6%,28,37,1/111,1/258,1/195
565,-440,1501,90.2%,4,3,1/214,1/375,1/500
587,-420,509,72.5%,1,1,1/255,1/509,1/509
588,442,6330,102.3%,26,18,1/144,1/243,1/352
589,-251,1410,94.1%,4,4,1/176,1/353,1/353
590,-1033,1747,80.3%,2,6,1/218,1/874,1/291
591,945,3660,108.6%,17,9,1/141,1/215,1/407
592,-426,1359,89.6%,5,0,1/272,1/272,-
593,949,5837,105.4%,26,18,1/133,1/225,1/324
594,-575,732,73.8%,1,0,1/732,1/732,-
595,-515,3465,95.0%,11,7,1/193,1/315,1/495
596,-380,2088,93.9%,6,6,1/174,1/348,1/348
597,260,1115,107.8%,5,2,1/159,1/223,1/558
598,401,3233,104.1%,14,8,1/147,1/231,1/404
599,-246,2256,96.4%,8,4,1/188,1/282,1/564
600,-1162,1491,74.0%,2,2,1/373,1/746,1/746
601,-564,420,55.2%,0,0,-,-,-
602,-503,6529,97.4%,22,21,1/152,1/297,1/311
603,-81,858,96.9%,3,3,1/143,1/286,1/286
604,-358,4006,97.0%,15,7,1/182,1/267,1/572
605,-298,553,82.0%,1,1,1/277,1/553,1/553
606,-1513,7157,93.0%,23,20,1/166,1/311,1/358
671,64,1133,101.9%,5,1,1/189,1/227,1/1133
672,-545,880,79.4%,1,3,1/220,1/880,1/293
673,-846,1971,85.7%,4,4,1/246,1/493,1/493
674,257,2977,102.9%,13,6,1/157,1/229,1/496
675,991,3500,109.4%,20,3,1/152,1/175,1/1167
676,61,3420,100.6%,11,13,1/143,1/311,1/263
677,-510,5271,96.8%,17,17,1/155,1/310,1/310
678,561,1793,110.4%,9,5,1/128,1/199,1/358
679,107,2539,101.4%,10,8,1/141,1/254,1/317
680,-1087,3518,89.7%,7,13,1/176,1/503,1/271
681,-1279,2431,82.5%,5,6,1/221,1/486,1/405
682,832,4765,105.8%,22,11,1/144,1/217,1/433
683,980,5890,105.5%,25,18,1/137,1/236,1/327
689,429,5935,102.4%,25,17,1/141,1/237,1/349
690,-374,1529,91.8%,4,4,1/191,1/382,1/382
691,1483,3888,112.7%,19,12,1/125,1/205,1/324
692,-204,3656,98.1%,10,15,1/146,1/366,1/244
693,-1141,6277,93.9%,20,15,1/179,1/314,1/418
694,-1337,2355,81.1%,4,6,1/236,1/589,1/393
695,-759,1366,81.5%,4,0,1/342,1/342,-
696,1245,6091,106.8%,29,16,1/135,1/210,1/381
697,-888,1656,82.1%,2,4,1/276,1/828,1/414
698,634,6329,103.3%,27,13,1/158,1/234,1/487
699,-873,2953,90.1%,8,8,1/185,1/369,1/369
700,-162,2414,97.8%,10,6,1/151,1/241,1/402
701,-900,1677,82.1%,3,3,1/280,1/559,1/559
平均,-1,3129,100.0%,12,9,1/151,1/271,1/340
