台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-239,6152,98.7%,22,14,1/171,1/280,1/439
545,345,3138,103.7%,15,5,1/157,1/209,1/628
546,-689,1596,85.6%,3,5,1/200,1/532,1/319
547,-1393,4304,89.2%,10,15,1/172,1/430,1/287
548,3157,4928,121.4%,29,18,1/105,1/170,1/274
549,-442,838,82.4%,1,2,1/279,1/838,1/419
550,1756,7245,108.1%,33,27,1/121,1/220,1/268
551,-595,1812,89.1%,5,4,1/201,1/362,1/453
552,64,2492,100.9%,11,3,1/178,1/227,1/831
553,2360,4644,116.9%,25,21,1/101,1/186,1/221
554,2094,9578,107.3%,36,49,1/113,1/266,1/195
555,-908,2166,86.0%,3,8,1/197,1/722,1/271
556,-456,1616,90.6%,5,3,1/202,1/323,1/539
557,-727,3752,93.5%,11,8,1/197,1/341,1/469
558,-184,3544,98.3%,14,8,1/161,1/253,1/443
559,-1350,3622,87.6%,9,9,1/201,1/402,1/402
560,-928,1780,82.6%,5,0,1/356,1/356,-
561,25,5441,100.2%,20,17,1/147,1/272,1/320
562,-297,1923,94.9%,6,7,1/148,1/321,1/275
563,-929,1914,83.8%,5,2,1/273,1/383,1/957
564,1856,7802,107.9%,35,28,1/124,1/223,1/279
565,-1054,1601,78.1%,3,3,1/267,1/534,1/534
587,304,7395,101.4%,31,16,1/157,1/239,1/462
588,-319,5059,97.9%,17,15,1/158,1/298,1/337
589,-395,2048,93.6%,7,3,1/205,1/293,1/683
590,0,2700,100.0%,11,3,1/193,1/245,1/900
591,485,3598,104.5%,15,10,1/144,1/240,1/360
592,-617,1088,81.1%,2,2,1/272,1/544,1/544
593,1766,4701,103.7%,17,22,1/121,1/277,1/214
594,793,3792,107.0%,19,6,1/152,1/200,1/632
595,-220,1507,95.1%,6,2,1/188,1/251,1/754
596,457,3290,104.6%,14,12,1/127,1/235,1/274
597,-844,7845,96.4%,25,25,1/157,1/314,1/314
598,-774,937,72.5%,1,1,1/469,1/937,1/937
599,-1684,1779,68.4%,1,4,1/356,1/1779,1/445
600,-305,4813,97.9%,18,12,1/160,1/267,1/401
601,927,4507,106.9%,21,12,1/137,1/215,1/376
602,0,4617,100.0%,20,9,1/159,1/231,1/513
603,-205,2506,97.3%,9,7,1/157,1/278,1/358
604,-840,7728,96.4%,26,27,1/146,1/297,1/286
605,-824,5851,95.3%,19,17,1/163,1/308,1/344
606,-917,1454,79.0%,2,3,1/291,1/727,1/485
671,477,5392,102.9%,21,15,1/152,1/257,1/359
672,-102,1236,97.2%,5,2,1/177,1/247,1/618
673,-44,676,97.8%,2,3,1/135,1/338,1/225
674,54,5502,100.3%,15,32,1/117,1/367,1/172
675,-787,2988,91.2%,8,8,1/187,1/374,1/374
676,-962,848,62.2%,0,1,1/848,-,1/848
677,-320,2039,94.8%,7,2,1/227,1/291,1/1020
678,-65,1469,98.5%,6,2,1/184,1/245,1/735
679,549,5166,103.5%,20,19,1/132,1/258,1/272
680,-566,1001,81.2%,2,0,1/501,1/501,-
681,163,2096,102.6%,9,2,1/191,1/233,1/1048
682,-442,3007,95.1%,9,10,1/158,1/334,1/301
683,-749,3846,93.5%,12,9,1/183,1/321,1/427
689,-299,3394,97.1%,12,7,1/179,1/283,1/485
690,-125,3005,98.6%,9,14,1/131,1/334,1/215
691,-644,3827,94.4%,10,16,1/147,1/383,1/239
692,-571,1681,88.7%,5,3,1/210,1/336,1/560
693,-841,1205,76.7%,2,2,1/301,1/603,1/603
694,977,4020,108.1%,19,12,1/130,1/212,1/335
695,92,6111,100.5%,22,22,1/139,1/278,1/278
696,-7,1511,99.8%,6,2,1/189,1/252,1/756
697,-1058,4619,92.4%,12,13,1/185,1/385,1/355
698,-125,1783,97.7%,7,3,1/178,1/255,1/594
699,-184,956,93.6%,3,2,1/191,1/319,1/478
700,-768,6014,95.7%,21,16,1/163,1/286,1/376
701,-503,5601,97.0%,18,19,1/151,1/311,1/295
平均,-159,3644,98.5%,13,10,1/155,1/276,1/356
