台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-671,4541,95.1%,16,6,1/206,1/284,1/757
545,-563,1284,85.4%,3,3,1/214,1/428,1/428
546,-691,6740,96.6%,22,21,1/157,1/306,1/321
547,-304,1042,90.3%,2,5,1/149,1/521,1/208
548,-747,2022,87.7%,4,7,1/184,1/506,1/289
549,2296,5995,112.8%,31,16,1/128,1/193,1/375
550,-88,2072,98.6%,8,3,1/188,1/259,1/691
551,-966,1428,77.5%,2,3,1/286,1/714,1/476
552,273,3496,102.6%,14,9,1/152,1/250,1/388
553,803,6010,104.5%,23,27,1/120,1/261,1/223
554,-1152,3166,87.9%,8,6,1/226,1/396,1/528
555,3889,6875,118.9%,32,37,1/100,1/215,1/186
556,-456,621,75.5%,1,0,1/621,1/621,-
557,-407,1519,91.1%,3,6,1/169,1/506,1/253
558,40,5266,100.3%,23,6,1/182,1/229,1/878
559,-515,2458,93.0%,9,3,1/205,1/273,1/819
560,-631,2920,92.8%,8,7,1/195,1/365,1/417
561,-697,1071,78.3%,2,2,1/268,1/536,1/536
562,-242,3231,97.5%,12,8,1/162,1/269,1/404
563,872,4046,107.2%,20,9,1/140,1/202,1/450
564,-858,1022,72.0%,1,2,1/341,1/1022,1/511
565,-878,3363,91.3%,10,8,1/187,1/336,1/420
587,-642,2025,89.4%,7,1,1/253,1/289,1/2025
588,967,4362,107.4%,18,18,1/121,1/242,1/242
589,-699,4104,94.3%,14,10,1/171,1/293,1/410
590,-1419,3370,86.0%,7,10,1/198,1/481,1/337
591,-1064,2696,86.8%,7,4,1/245,1/385,1/674
592,-53,1512,98.8%,6,2,1/189,1/252,1/756
593,535,6551,102.7%,27,20,1/139,1/243,1/328
594,251,1803,104.6%,8,4,1/150,1/225,1/451
595,-326,1236,91.2%,4,1,1/247,1/309,1/1236
596,-540,5990,97.0%,21,16,1/162,1/285,1/374
597,1191,2808,114.1%,15,10,1/112,1/187,1/281
598,916,4548,106.7%,22,10,1/142,1/207,1/455
599,-175,805,92.8%,3,0,1/268,1/268,-
600,458,2400,106.4%,11,4,1/160,1/218,1/600
601,-635,4069,94.8%,14,9,1/177,1/291,1/452
602,-747,1000,75.1%,1,2,1/333,1/1000,1/500
603,827,6293,104.4%,29,15,1/143,1/217,1/420
604,-135,608,92.6%,2,2,1/152,1/304,1/304
605,-64,7123,99.7%,25,24,1/145,1/285,1/297
606,-617,3420,94.0%,12,6,1/190,1/285,1/570
671,746,3193,107.8%,15,9,1/133,1/213,1/355
672,-702,2649,91.2%,8,6,1/189,1/331,1/442
673,568,2649,107.1%,13,4,1/156,1/204,1/662
674,-411,742,81.5%,2,0,1/371,1/371,-
675,22,2811,100.3%,11,5,1/176,1/256,1/562
676,643,2959,107.2%,16,2,1/164,1/185,1/1480
677,-122,1827,97.8%,7,4,1/166,1/261,1/457
678,1731,3499,116.5%,22,5,1/130,1/159,1/700
679,1860,6583,109.4%,29,25,1/122,1/227,1/263
680,-434,1020,85.8%,3,2,1/204,1/340,1/510
681,735,5316,104.6%,23,14,1/144,1/231,1/380
682,-106,1351,97.4%,5,1,1/225,1/270,1/1351
683,297,5906,101.7%,24,15,1/151,1/246,1/394
689,-306,3107,96.7%,11,9,1/155,1/282,1/345
690,-675,4339,94.8%,13,12,1/174,1/334,1/362
691,2048,5996,111.4%,31,18,1/122,1/193,1/333
692,-371,283,56.3%,0,0,-,-,-
693,1536,5198,109.8%,25,17,1/124,1/208,1/306
694,-709,1474,84.0%,4,1,1/295,1/369,1/1474
695,-281,4456,97.9%,16,13,1/154,1/279,1/343
696,-796,1211,78.1%,2,2,1/303,1/606,1/606
697,-866,2690,89.3%,8,4,1/224,1/336,1/673
698,-1206,3834,89.5%,9,6,1/256,1/426,1/639
699,-268,1955,95.4%,5,6,1/178,1/391,1/326
700,430,4110,103.5%,16,11,1/152,1/257,1/374
701,-525,698,74.9%,0,2,1/349,-,1/349
