台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1230,4695,91.3%,13,11,1/196,1/361,1/427
545,-1107,1405,73.7%,1,5,1/234,1/1405,1/281
546,-675,1787,87.4%,5,2,1/255,1/357,1/894
547,-1284,5326,92%,13,18,1/172,1/410,1/296
548,-1546,2294,77.5%,3,7,1/229,1/765,1/328
549,-663,2628,91.6%,7,7,1/188,1/375,1/375
550,-239,4805,98.3%,17,14,1/155,1/283,1/343
551,1434,6564,107.3%,31,18,1/134,1/212,1/365
552,-404,3932,96.6%,13,10,1/171,1/302,1/393
553,-415,4457,96.9%,17,9,1/171,1/262,1/495
554,-721,1044,77%,1,5,1/174,1/1044,1/209
555,1209,6801,105.9%,33,13,1/148,1/206,1/523
556,-355,2180,94.6%,6,7,1/168,1/363,1/311
557,43,2405,100.6%,10,5,1/160,1/241,1/481
558,-84,3877,99.3%,15,10,1/155,1/258,1/388
559,-465,1123,86.2%,2,3,1/225,1/562,1/374
560,2404,8272,109.7%,40,27,1/123,1/207,1/306
561,-731,970,74.9%,1,2,1/323,1/970,1/485
562,-1996,6313,89.5%,17,15,1/197,1/371,1/421
563,-121,3286,98.8%,12,7,1/173,1/274,1/469
564,-971,1372,76.4%,2,4,1/229,1/686,1/343
565,-152,6649,99.2%,25,23,1/139,1/266,1/289
587,-1066,2742,87%,8,6,1/196,1/343,1/457
588,774,6361,104.1%,25,22,1/135,1/254,1/289
589,-1268,3818,88.9%,11,9,1/191,1/347,1/424
590,-692,4154,94.4%,13,11,1/173,1/320,1/378
591,-866,2529,88.6%,5,8,1/195,1/506,1/316
592,-361,2399,95%,8,4,1/200,1/300,1/600
593,1029,3009,111.4%,14,11,1/120,1/215,1/274
594,2338,8650,109%,35,38,1/118,1/247,1/228
595,-602,1522,86.8%,4,4,1/190,1/381,1/381
596,927,4148,107.4%,18,15,1/126,1/230,1/277
597,-872,1857,84.3%,4,4,1/232,1/464,1/464
598,-1230,4009,89.8%,8,16,1/167,1/501,1/251
599,563,7036,102.7%,23,31,1/130,1/306,1/227
600,890,6462,104.6%,27,21,1/135,1/239,1/308
601,-193,968,93.4%,3,2,1/194,1/323,1/484
602,63,3114,100.7%,13,6,1/164,1/240,1/519
603,239,3844,102.1%,16,7,1/167,1/240,1/549
604,-732,1690,85.6%,3,4,1/241,1/563,1/423
605,-168,4245,98.7%,16,9,1/170,1/265,1/472
606,-72,5012,99.5%,19,13,1/157,1/264,1/386
671,-339,2668,95.8%,10,5,1/178,1/267,1/534
672,-603,2793,92.8%,8,8,1/175,1/349,1/349
673,302,5658,101.8%,26,13,1/145,1/218,1/435
674,0,2320,100%,8,8,1/145,1/290,1/290
675,-1480,2280,78.4%,3,8,1/207,1/760,1/285
676,-77,3919,99.3%,15,12,1/145,1/261,1/327
677,-732,989,75.3%,1,2,1/330,1/989,1/495
678,-513,2851,94%,10,4,1/204,1/285,1/713
679,213,4482,101.6%,20,9,1/155,1/224,1/498
680,-1156,4409,91.3%,13,12,1/176,1/339,1/367
681,631,4234,105%,17,11,1/151,1/249,1/385
682,-829,1955,85.9%,5,3,1/244,1/391,1/652
683,1372,6745,106.8%,33,16,1/138,1/204,1/422
689,834,5779,104.8%,24,17,1/141,1/241,1/340
690,-568,4610,95.9%,15,13,1/165,1/307,1/355
691,1259,4371,109.6%,20,18,1/115,1/219,1/243
692,-580,2765,93%,9,6,1/184,1/307,1/461
693,-539,754,76.2%,1,1,1/377,1/754,1/754
694,-345,3507,96.7%,13,6,1/185,1/270,1/585
695,-145,2748,98.2%,10,5,1/183,1/275,1/550
696,708,5099,104.6%,21,17,1/134,1/243,1/300
697,-504,2269,92.6%,7,5,1/189,1/324,1/454
698,-290,1520,93.6%,5,2,1/217,1/304,1/760
699,431,3549,104%,15,12,1/131,1/237,1/296
700,-1040,3214,89.2%,8,9,1/189,1/402,1/357
701,-967,1419,77.3%,3,2,1/284,1/473,1/710
平均,-211,3627,98.1%,13,10,1/158,1/281,1/359
