台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-238,7364,98.9%,22,33,1/134,1/335,1/223
545,-395,350,62.4%,0,1,1/350,-,1/350
546,1507,6841,107.3%,30,23,1/129,1/228,1/297
547,-1528,2036,75%,2,3,1/407,1/1018,1/679
548,113,3331,101.1%,14,6,1/167,1/238,1/555
549,553,2762,106.7%,13,4,1/162,1/212,1/691
550,3062,7543,113.5%,40,18,1/130,1/189,1/419
551,-180,931,93.6%,2,4,1/155,1/466,1/233
552,1062,4006,108.8%,22,5,1/148,1/182,1/801
553,-1108,2604,85.8%,7,4,1/237,1/372,1/651
554,-879,1661,82.4%,5,1,1/277,1/332,1/1661
555,-474,1614,90.2%,5,3,1/202,1/323,1/538
556,-102,4543,99.3%,17,13,1/151,1/267,1/349
557,733,5815,104.2%,26,12,1/153,1/224,1/485
558,-705,1179,80.1%,2,3,1/236,1/590,1/393
559,-151,1818,97.2%,8,1,1/202,1/227,1/1818
560,-534,5233,96.6%,17,17,1/154,1/308,1/308
561,361,3216,103.7%,13,7,1/161,1/247,1/459
562,-110,1625,97.7%,5,6,1/148,1/325,1/271
563,777,7238,103.6%,28,27,1/132,1/259,1/268
564,568,1818,110.4%,9,5,1/130,1/202,1/364
565,2543,8583,109.9%,43,25,1/126,1/200,1/343
587,22,2646,100.3%,10,8,1/147,1/265,1/331
588,-90,2366,98.7%,7,7,1/169,1/338,1/338
589,786,8683,103%,33,32,1/134,1/263,1/271
590,-590,4498,95.6%,13,16,1/155,1/346,1/281
591,-540,1576,88.6%,4,5,1/175,1/394,1/315
592,175,5059,101.2%,19,17,1/141,1/266,1/298
593,125,1304,103.2%,6,0,1/217,1/217,-
594,-1303,4627,90.6%,11,13,1/193,1/421,1/356
595,-69,4111,99.4%,14,15,1/142,1/294,1/274
596,2050,4615,114.8%,24,18,1/110,1/192,1/256
597,-1089,4757,92.4%,15,12,1/176,1/317,1/396
598,480,1898,108.4%,10,3,1/146,1/190,1/633
599,-919,5433,94.4%,14,21,1/155,1/388,1/259
600,-44,1906,99.2%,7,3,1/191,1/272,1/635
601,715,4766,105%,23,6,1/164,1/207,1/794
602,-934,2571,87.9%,7,6,1/198,1/367,1/429
603,887,3955,107.5%,14,22,1/110,1/283,1/180
604,-232,3690,97.9%,13,9,1/168,1/284,1/410
605,708,6293,103.8%,25,24,1/128,1/252,1/262
606,-205,4285,98.4%,18,9,1/159,1/238,1/476
671,-780,1874,86.1%,4,2,1/312,1/469,1/937
672,-343,4522,97.5%,16,12,1/162,1/283,1/377
673,-526,2620,93.3%,9,5,1/187,1/291,1/524
674,-387,726,82.2%,2,0,1/363,1/363,-
675,2241,7747,109.6%,37,26,1/123,1/209,1/298
676,2742,3502,126.1%,23,12,1/100,1/152,1/292
677,-807,934,71.2%,1,1,1/467,1/934,1/934
678,-1023,2908,88.3%,8,6,1/208,1/364,1/485
679,-845,3729,92.4%,11,8,1/196,1/339,1/466
680,-866,3285,91.2%,10,9,1/173,1/329,1/365
681,2236,6167,112.1%,29,23,1/119,1/213,1/268
682,-135,1546,97.1%,6,2,1/193,1/258,1/773
683,420,6581,102.1%,26,23,1/134,1/253,1/286
689,44,2594,100.6%,11,6,1/153,1/236,1/432
690,-453,2176,93.1%,7,6,1/167,1/311,1/363
691,91,6898,100.4%,26,25,1/135,1/265,1/276
692,-242,1556,94.8%,5,2,1/222,1/311,1/778
693,-751,4192,94%,13,12,1/168,1/322,1/349
694,836,8416,103.3%,34,28,1/136,1/248,1/301
695,-170,747,92.4%,3,1,1/187,1/249,1/747
696,-733,1399,82.5%,3,3,1/233,1/466,1/466
697,1066,6070,105.9%,24,20,1/138,1/253,1/304
698,-149,470,89.4%,2,0,1/235,1/235,-
699,-584,2889,93.3%,10,7,1/170,1/289,1/413
700,333,4816,102.3%,21,14,1/138,1/229,1/344
701,-573,525,63.6%,0,1,1/525,-,1/525
平均,80,3677,100.7%,14,11,1/149,1/261,1/347
