台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-748,3583,93.0%,12,8,1/179,1/299,1/448
545,-1052,4749,92.6%,14,11,1/190,1/339,1/432
546,226,2406,103.1%,13,1,1/172,1/185,1/2406
547,302,2662,103.8%,12,6,1/148,1/222,1/444
548,-423,4612,96.9%,15,17,1/144,1/307,1/271
549,-568,1086,82.6%,3,1,1/272,1/362,1/1086
550,764,7681,103.3%,24,42,1/116,1/320,1/183
551,86,2637,101.1%,10,4,1/188,1/264,1/659
552,-785,3138,91.7%,7,13,1/157,1/448,1/241
553,325,7298,101.5%,26,27,1/138,1/281,1/270
554,-582,717,72.9%,1,0,1/717,1/717,-
555,-1123,2453,84.7%,5,7,1/204,1/491,1/350
556,-1157,2782,86.1%,6,7,1/214,1/464,1/397
557,-492,725,77.4%,1,0,1/725,1/725,-
558,924,6532,104.7%,26,25,1/128,1/251,1/261
559,-943,5200,94.0%,11,25,1/144,1/473,1/208
560,-1261,2770,84.8%,5,8,1/213,1/554,1/346
561,-1163,3170,87.8%,9,8,1/186,1/352,1/396
562,102,2468,101.4%,11,5,1/154,1/224,1/494
563,-1278,1673,74.5%,2,3,1/335,1/837,1/558
564,2264,8058,109.4%,36,32,1/119,1/224,1/252
565,45,3346,100.4%,14,6,1/167,1/239,1/558
587,-1138,5236,92.8%,15,17,1/164,1/349,1/308
588,-279,6825,98.6%,24,20,1/155,1/284,1/341
589,-962,4719,93.2%,14,16,1/157,1/337,1/295
590,-70,5321,99.6%,17,23,1/133,1/313,1/231
591,-331,794,86.1%,2,1,1/265,1/397,1/794
592,37,5324,100.2%,20,16,1/148,1/266,1/333
593,1027,4726,107.2%,23,12,1/135,1/205,1/394
594,-191,3594,98.2%,15,6,1/171,1/240,1/599
595,-1016,2622,87.1%,7,3,1/262,1/375,1/874
596,-1017,3259,89.6%,10,3,1/251,1/326,1/1086
597,1069,2480,114.4%,14,9,1/108,1/177,1/276
598,595,4505,104.4%,19,14,1/137,1/237,1/322
599,1097,5244,107.0%,23,17,1/131,1/228,1/308
600,-34,1002,98.9%,4,2,1/167,1/251,1/501
601,2384,6149,112.9%,31,23,1/114,1/198,1/267
602,-652,4944,95.6%,12,24,1/137,1/412,1/206
603,-1810,2061,70.7%,1,4,1/412,1/2061,1/515
604,-491,5645,97.1%,20,16,1/157,1/282,1/353
605,-1316,1914,77.1%,3,2,1/383,1/638,1/957
606,748,6050,104.1%,26,18,1/138,1/233,1/336
671,17,6063,100.1%,20,24,1/138,1/303,1/253
672,-443,2899,94.9%,10,5,1/193,1/290,1/580
673,-920,1195,74.3%,1,4,1/239,1/1195,1/299
674,1605,8124,106.6%,31,37,1/119,1/262,1/220
675,-1195,1181,66.3%,1,1,1/591,1/1181,1/1181
676,527,3242,105.4%,14,8,1/147,1/232,1/405
677,-952,4356,92.7%,12,14,1/168,1/363,1/311
678,-1119,855,56.4%,0,0,-,-,-
679,-1444,4217,88.6%,10,15,1/169,1/422,1/281
680,-840,1730,83.8%,3,6,1/192,1/577,1/288
681,655,3303,106.6%,16,8,1/138,1/206,1/413
682,-736,1674,85.3%,4,3,1/239,1/419,1/558
683,290,4080,102.4%,19,5,1/170,1/215,1/816
689,2169,5448,113.3%,30,14,1/124,1/182,1/389
690,-317,1540,93.1%,4,5,1/171,1/385,1/308
691,581,5200,103.7%,21,15,1/144,1/248,1/347
692,-1138,3776,90.0%,9,12,1/180,1/420,1/315
693,1290,7937,105.4%,28,41,1/115,1/283,1/194
694,75,2696,100.9%,10,7,1/159,1/270,1/385
695,2566,5304,116.1%,31,12,1/123,1/171,1/442
696,1661,4437,112.5%,19,23,1/106,1/234,1/193
697,2055,4881,114.0%,27,12,1/125,1/181,1/407
698,-69,7091,99.7%,25,26,1/139,1/284,1/273
699,-709,2672,91.2%,8,4,1/223,1/334,1/668
700,661,2577,108.5%,13,3,1/161,1/198,1/859
701,924,4437,106.9%,20,12,1/139,1/222,1/370
