台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-463,7435,97.9%,26,19,1/165,1/286,1/391
545,-560,6900,97.3%,24,22,1/150,1/288,1/314
546,96,6231,100.5%,22,15,1/168,1/283,1/415
547,2262,9178,108.2%,41,32,1/126,1/224,1/287
548,1316,6368,106.9%,28,24,1/122,1/227,1/265
549,-468,5156,97%,17,17,1/152,1/303,1/303
550,191,8498,100.7%,32,32,1/133,1/266,1/266
551,1137,7263,105.2%,25,37,1/117,1/291,1/196
552,-737,4269,94.2%,16,6,1/194,1/267,1/712
553,-1493,3769,86.8%,8,11,1/198,1/471,1/343
554,2175,8709,108.3%,38,29,1/130,1/229,1/300
555,-393,2926,95.5%,11,4,1/195,1/266,1/732
556,-1742,4450,87%,13,5,1/247,1/342,1/890
557,-502,6107,97.3%,21,16,1/165,1/291,1/382
558,-103,3561,99%,14,8,1/162,1/254,1/445
559,-1531,6174,91.7%,19,13,1/193,1/325,1/475
560,-927,7141,95.7%,23,19,1/170,1/310,1/376
561,-1615,4607,88.3%,12,11,1/200,1/384,1/419
562,-256,2238,96.2%,7,6,1/172,1/320,1/373
563,-677,8199,97.2%,28,31,1/139,1/293,1/264
564,-808,5384,95%,20,9,1/186,1/269,1/598
565,-73,5760,99.6%,21,16,1/156,1/274,1/360
587,-1215,6523,93.8%,20,19,1/167,1/326,1/343
588,227,6469,101.2%,24,19,1/150,1/270,1/340
589,-877,6196,95.3%,19,19,1/163,1/326,1/326
590,2710,7144,112.6%,30,34,1/112,1/238,1/210
591,-1194,4978,92%,15,12,1/184,1/332,1/415
592,177,6290,100.9%,27,11,1/166,1/233,1/572
593,-2016,5171,87%,14,12,1/199,1/369,1/431
594,-221,4688,98.4%,18,8,1/180,1/260,1/586
595,762,6436,103.9%,29,12,1/157,1/222,1/536
596,-154,5315,99%,19,17,1/148,1/280,1/313
597,1065,8615,104.1%,31,40,1/121,1/278,1/215
598,237,7807,101%,29,30,1/132,1/269,1/260
599,-579,4874,96%,18,7,1/195,1/271,1/696
600,-1618,5629,90.4%,16,12,1/201,1/352,1/469
601,-2296,6198,87.7%,14,18,1/194,1/443,1/344
602,-1298,5426,92%,15,15,1/181,1/362,1/362
603,535,6246,102.9%,29,7,1/174,1/215,1/892
604,-866,4407,93.4%,15,8,1/192,1/294,1/551
605,857,6881,104.2%,28,24,1/132,1/246,1/287
606,446,8021,101.9%,30,25,1/146,1/267,1/321
671,1558,5642,109.2%,26,15,1/138,1/217,1/376
672,514,4873,103.5%,21,10,1/157,1/232,1/487
673,116,7522,100.5%,28,20,1/157,1/269,1/376
674,-1270,2252,81.2%,4,5,1/250,1/563,1/450
675,-1773,5412,89.1%,14,13,1/200,1/387,1/416
676,769,6495,103.9%,26,20,1/141,1/250,1/325
677,-936,2054,84.8%,4,6,1/205,1/514,1/342
678,3472,9182,112.6%,43,41,1/109,1/214,1/224
679,99,5796,100.6%,18,26,1/132,1/322,1/223
680,2051,5261,113%,26,17,1/122,1/202,1/309
681,592,6999,102.8%,31,12,1/163,1/226,1/583
682,-239,4302,98.1%,17,10,1/159,1/253,1/430
683,-2113,4266,83.5%,9,10,1/225,1/474,1/427
689,-2109,4509,84.4%,11,7,1/251,1/410,1/644
690,-1672,4210,86.8%,10,12,1/191,1/421,1/351
691,-764,6229,95.9%,22,14,1/173,1/283,1/445
692,-136,6044,99.2%,19,24,1/141,1/318,1/252
693,-33,7683,99.9%,31,19,1/154,1/248,1/404
694,-1719,4729,87.9%,10,16,1/182,1/473,1/296
695,2544,7517,111.3%,33,34,1/112,1/228,1/221
696,-32,2133,99.5%,7,6,1/164,1/305,1/356
697,-646,6188,96.5%,19,19,1/163,1/326,1/326
698,-502,3285,94.9%,9,10,1/173,1/365,1/329
699,673,6768,103.3%,28,19,1/144,1/242,1/356
700,-2374,4109,80.7%,7,6,1/316,1/587,1/685
701,420,5658,102.5%,25,9,1/166,1/226,1/629
平均,-206,5776,98.8%,21,17,1/155,1/280,1/347
