台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-503,4474,96.3%,16,8,1/186,1/280,1/559
545,2409,5196,115.5%,30,13,1/121,1/173,1/400
546,-37,1839,99.3%,5,6,1/167,1/368,1/307
547,905,5536,105.4%,24,18,1/132,1/231,1/308
548,222,4356,101.7%,18,12,1/145,1/242,1/363
549,675,2691,108.4%,13,7,1/135,1/207,1/384
550,-134,2693,98.3%,11,4,1/180,1/245,1/673
551,-679,1024,77.9%,1,3,1/256,1/1024,1/341
552,1527,6189,108.2%,26,25,1/121,1/238,1/248
553,-202,4720,98.6%,15,20,1/135,1/315,1/236
554,-227,639,88.2%,2,0,1/320,1/320,-
555,1455,7808,106.2%,31,32,1/124,1/252,1/244
556,-610,933,78.2%,1,3,1/233,1/933,1/311
557,-403,1172,88.5%,3,2,1/234,1/391,1/586
558,-469,4651,96.6%,16,12,1/166,1/291,1/388
559,-277,2577,96.4%,10,4,1/184,1/258,1/644
560,248,1704,104.9%,9,2,1/155,1/189,1/852
561,837,6117,104.6%,24,21,1/136,1/255,1/291
562,-89,1485,98%,7,1,1/186,1/212,1/1485
563,586,4344,104.5%,17,17,1/128,1/256,1/256
564,2260,4769,115.8%,27,14,1/116,1/177,1/341
565,34,4398,100.3%,19,9,1/157,1/231,1/489
587,-445,3627,95.9%,13,6,1/191,1/279,1/605
588,-315,6025,98.3%,21,19,1/151,1/287,1/317
589,-169,1415,96%,5,3,1/177,1/283,1/472
590,-62,7876,99.7%,26,28,1/146,1/303,1/281
591,-608,886,77.1%,2,0,1/443,1/443,-
592,-379,1173,89.2%,3,4,1/168,1/391,1/293
593,168,5777,101%,20,23,1/134,1/289,1/251
594,1152,3281,111.7%,14,15,1/113,1/234,1/219
595,3003,6971,114.4%,34,27,1/114,1/205,1/258
596,256,2716,103.1%,12,5,1/160,1/226,1/543
597,-903,1259,76.1%,2,1,1/420,1/630,1/1259
598,-623,2179,90.5%,7,3,1/218,1/311,1/726
599,-166,2932,98.1%,11,6,1/172,1/267,1/489
600,-470,2289,93.2%,8,4,1/191,1/286,1/572
601,440,5520,102.7%,18,27,1/123,1/307,1/204
602,-1208,4737,91.5%,13,10,1/206,1/364,1/474
603,1515,3273,115.4%,18,9,1/121,1/182,1/364
604,-77,1647,98.4%,6,4,1/165,1/275,1/412
605,267,5640,101.6%,20,19,1/145,1/282,1/297
606,648,4476,104.8%,20,8,1/160,1/224,1/560
671,-239,1125,92.9%,3,3,1/188,1/375,1/375
672,-386,5028,97.4%,15,18,1/152,1/335,1/279
673,213,2194,103.2%,10,5,1/146,1/219,1/439
674,22,4537,100.2%,17,16,1/137,1/267,1/284
675,509,4434,103.8%,20,12,1/139,1/222,1/370
676,673,3520,106.4%,15,12,1/130,1/235,1/293
677,-792,1048,74.8%,1,3,1/262,1/1048,1/349
678,381,5846,102.2%,23,19,1/139,1/254,1/308
679,202,2862,102.4%,12,8,1/143,1/239,1/358
680,170,5375,101.1%,21,19,1/134,1/256,1/283
681,-243,772,89.5%,2,1,1/257,1/386,1/772
682,885,4706,106.3%,22,11,1/143,1/214,1/428
683,-862,1674,82.8%,4,2,1/279,1/419,1/837
689,1272,4782,108.9%,22,14,1/133,1/217,1/342
690,-496,642,74.2%,0,2,1/321,-,1/321
691,1032,7206,104.8%,30,26,1/129,1/240,1/277
692,-639,3362,93.7%,11,8,1/177,1/306,1/420
693,-654,1242,82.4%,2,4,1/207,1/621,1/311
694,-703,5431,95.7%,19,13,1/170,1/286,1/418
695,-344,1289,91.1%,4,1,1/258,1/322,1/1289
696,-241,4393,98.2%,14,12,1/169,1/314,1/366
697,-505,609,72.4%,0,1,1/609,-,1/609
698,1468,6220,107.9%,24,28,1/120,1/259,1/222
699,-211,981,92.8%,2,4,1/164,1/491,1/245
700,-327,4580,97.6%,16,17,1/139,1/286,1/269
701,-488,839,80.6%,1,2,1/280,1/839,1/420
平均,136,3496,101.3%,13,11,1/146,1/262,1/332
