台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-527,1923,90.9%,7,3,1/192,1/275,1/641
545,-20,973,99.3%,5,0,1/195,1/195,-
546,218,2116,103.4%,9,2,1/192,1/235,1/1058
547,-430,4287,96.7%,14,13,1/159,1/306,1/330
548,-44,1082,98.6%,4,3,1/155,1/271,1/361
549,427,4938,102.9%,18,18,1/137,1/274,1/274
550,80,3561,100.7%,14,11,1/142,1/254,1/324
551,-896,1727,82.7%,2,8,1/173,1/864,1/216
552,-382,1692,92.5%,4,5,1/188,1/423,1/338
553,-9,4201,99.9%,16,12,1/150,1/263,1/350
554,-418,986,85.9%,2,2,1/247,1/493,1/493
555,-197,4554,98.6%,14,15,1/157,1/325,1/304
556,-534,1513,88.2%,3,5,1/189,1/504,1/303
557,-64,4448,99.5%,17,11,1/159,1/262,1/404
558,-822,3355,91.8%,10,11,1/160,1/336,1/305
559,-748,2281,89.1%,5,7,1/190,1/456,1/326
560,-1070,869,59.0%,0,0,-,-,-
561,-1251,1782,76.6%,2,5,1/255,1/891,1/356
562,-1125,2195,82.9%,4,4,1/274,1/549,1/549
563,-885,1056,72.1%,1,1,1/528,1/1056,1/1056
564,-1055,2715,87.0%,6,10,1/170,1/453,1/272
565,-251,2477,96.6%,9,3,1/206,1/275,1/826
587,2079,7178,109.7%,29,34,1/114,1/248,1/211
588,610,5286,103.8%,18,29,1/112,1/294,1/182
589,801,4527,105.9%,17,20,1/122,1/266,1/226
590,0,2077,100.0%,8,5,1/160,1/260,1/415
591,-323,1598,93.3%,4,5,1/178,1/400,1/320
592,1079,6759,105.3%,28,27,1/123,1/241,1/250
593,-159,501,89.4%,2,0,1/251,1/251,-
594,-46,6000,99.7%,23,14,1/162,1/261,1/429
595,-393,1185,88.9%,3,3,1/198,1/395,1/395
596,308,3222,103.2%,13,8,1/153,1/248,1/403
597,-511,1132,85.0%,3,2,1/226,1/377,1/566
598,-512,1542,88.9%,4,4,1/193,1/386,1/386
599,-701,3712,93.7%,11,11,1/169,1/337,1/337
600,-473,1586,90.1%,4,5,1/176,1/397,1/317
601,-1050,3705,90.6%,8,15,1/161,1/463,1/247
602,639,4251,105.0%,18,14,1/133,1/236,1/304
603,857,4010,107.1%,17,15,1/125,1/236,1/267
604,-468,1025,84.8%,2,2,1/256,1/513,1/513
605,1061,6147,105.8%,24,21,1/137,1/256,1/293
606,-480,1312,87.8%,2,6,1/164,1/656,1/219
671,-133,287,84.6%,1,0,1/287,1/287,-
672,1203,6727,106.0%,27,26,1/127,1/249,1/259
673,-1304,3560,87.8%,7,14,1/170,1/509,1/254
674,-960,5919,94.6%,18,24,1/141,1/329,1/247
675,-1264,3780,88.9%,8,11,1/199,1/473,1/344
676,217,4046,101.8%,17,9,1/156,1/238,1/450
677,-202,462,85.4%,1,1,1/231,1/462,1/462
678,1225,5020,108.1%,23,15,1/132,1/218,1/335
679,-781,1320,80.3%,2,4,1/220,1/660,1/330
680,-780,3595,92.8%,10,11,1/171,1/360,1/327
681,-549,912,79.9%,2,1,1/304,1/456,1/912
682,-826,1090,74.7%,2,2,1/273,1/545,1/545
683,-1440,4502,89.3%,11,16,1/167,1/409,1/281
689,-296,4305,97.7%,16,5,1/205,1/269,1/861
690,266,1355,106.5%,7,2,1/151,1/194,1/678
691,-642,3502,93.9%,12,7,1/184,1/292,1/500
692,-352,1847,93.6%,7,3,1/185,1/264,1/616
693,-417,1147,87.9%,3,0,1/382,1/382,-
694,-65,1259,98.3%,6,1,1/180,1/210,1/1259
695,430,3264,104.4%,13,11,1/136,1/251,1/297
696,-305,1786,94.3%,6,3,1/198,1/298,1/595
697,-249,3532,97.7%,12,11,1/154,1/294,1/321
698,-157,1435,96.4%,5,4,1/159,1/287,1/359
699,1208,5354,107.5%,23,21,1/122,1/233,1/255
700,-331,498,77.8%,1,1,1/249,1/498,1/498
701,2316,5135,115.0%,24,25,1/105,1/214,1/205
