台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1192,4782,91.7%,15,9,1/199,1/319,1/531
545,-272,4965,98.2%,19,11,1/166,1/261,1/451
546,289,4503,102.1%,18,15,1/136,1/250,1/300
547,-62,3979,99.5%,14,10,1/166,1/284,1/398
548,-395,2860,95.4%,11,3,1/204,1/260,1/953
549,-1032,4511,92.4%,15,8,1/196,1/301,1/564
550,1745,3939,114.8%,22,5,1/146,1/179,1/788
551,-2549,3996,78.7%,5,10,1/266,1/799,1/400
552,-1776,3531,83.2%,7,9,1/221,1/504,1/392
553,-1020,5392,93.7%,16,15,1/174,1/337,1/359
554,-1390,2836,83.7%,6,5,1/258,1/473,1/567
555,-666,4760,95.3%,17,10,1/176,1/280,1/476
556,-244,5488,98.5%,19,14,1/166,1/289,1/392
557,308,5546,101.9%,25,12,1/150,1/222,1/462
558,28,4881,100.2%,19,12,1/157,1/257,1/407
559,-842,6291,95.5%,20,20,1/157,1/315,1/315
560,-250,2492,96.7%,9,6,1/166,1/277,1/415
561,-933,3320,90.6%,9,6,1/221,1/369,1/553
562,-1089,2368,84.7%,7,1,1/296,1/338,1/2368
563,-490,2767,94.1%,10,3,1/213,1/277,1/922
564,-1316,4229,89.6%,10,11,1/201,1/423,1/384
565,-1297,3783,88.6%,11,4,1/252,1/344,1/946
587,-908,3892,92.2%,10,13,1/169,1/389,1/299
588,-121,2777,98.5%,11,5,1/174,1/252,1/555
589,-309,4431,97.7%,17,8,1/177,1/261,1/554
590,-658,1666,86.8%,5,2,1/238,1/333,1/833
591,-656,2844,92.3%,10,3,1/219,1/284,1/948
592,-1350,4287,89.5%,10,12,1/195,1/429,1/357
593,-1494,5280,90.6%,14,14,1/189,1/377,1/377
594,768,2743,109.3%,15,4,1/144,1/183,1/686
595,731,5815,104.2%,25,14,1/149,1/233,1/415
596,-1175,2281,82.8%,5,4,1/253,1/456,1/570
597,-528,3197,94.5%,10,7,1/188,1/320,1/457
598,-900,2753,89.1%,10,2,1/229,1/275,1/1377
599,585,4853,104%,23,8,1/157,1/211,1/607
600,-1158,3802,89.8%,12,4,1/238,1/317,1/951
601,0,3669,100%,16,6,1/167,1/229,1/612
602,39,6941,100.2%,26,18,1/158,1/267,1/386
603,-947,5758,94.5%,18,14,1/180,1/320,1/411
604,-755,1682,85%,4,2,1/280,1/421,1/841
605,301,5857,101.7%,24,16,1/146,1/244,1/366
606,-1320,2645,83.4%,7,2,1/294,1/378,1/1323
671,-655,2558,91.5%,7,5,1/213,1/365,1/512
672,-336,1959,94.3%,8,1,1/218,1/245,1/1959
673,-528,1150,84.7%,3,1,1/288,1/383,1/1150
674,109,6479,100.6%,25,19,1/147,1/259,1/341
675,-898,3772,92.1%,11,8,1/199,1/343,1/472
676,-1085,3027,88.1%,8,4,1/252,1/378,1/757
677,-1438,3358,85.7%,8,5,1/258,1/420,1/672
678,-163,3063,98.2%,10,12,1/139,1/306,1/255
679,-856,4719,94%,17,10,1/175,1/278,1/472
680,-379,1189,89.4%,3,2,1/238,1/396,1/595
681,514,7687,102.2%,31,26,1/135,1/248,1/296
682,203,3681,101.8%,15,10,1/147,1/245,1/368
683,707,6888,103.4%,28,21,1/141,1/246,1/328
689,-1511,4291,88.3%,12,8,1/215,1/358,1/536
690,-1052,4687,92.5%,15,9,1/195,1/312,1/521
691,-666,4846,95.4%,18,12,1/162,1/269,1/404
692,108,7055,100.5%,25,23,1/147,1/282,1/307
693,868,3572,108.1%,18,7,1/143,1/198,1/510
694,369,5048,102.4%,23,11,1/148,1/219,1/459
695,-258,4697,98.2%,19,6,1/188,1/247,1/783
696,871,5594,105.2%,21,23,1/127,1/266,1/243
697,-1473,2498,80.3%,4,6,1/250,1/625,1/416
698,-568,3151,94%,11,8,1/166,1/286,1/394
699,-1056,5371,93.4%,17,14,1/173,1/316,1/384
700,-1596,2386,77.7%,4,6,1/239,1/597,1/398
701,-109,3658,99%,16,6,1/166,1/229,1/610
平均,-517,4041,95.7%,14,9,1/175,1/288,1/443
