台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,2433,6067,113.4,31,17,1/126,1/196,1/357
545,191,2721,102.3,12,9,1/130,1/227,1/302
546,-461,1724,91.1,6,2,1/216,1/287,1/862
547,1544,8188,106.3,32,36,1/120,1/256,1/227
548,-219,375,80.5,0,1,1/375,-,1/375
549,-889,941,68.5,1,1,1/471,1/941,1/941
550,-520,3410,94.9,13,3,1/213,1/262,1/1137
551,487,5727,102.8,22,19,1/140,1/260,1/301
552,77,906,102.8,4,0,1/227,1/227,-
553,-487,2200,92.6,4,9,1/169,1/550,1/244
554,-802,2199,87.8,6,4,1/220,1/367,1/550
555,-955,3397,90.6,11,6,1/200,1/309,1/566
556,-454,501,69.8,0,1,1/501,-,1/501
557,123,4659,100.9,18,15,1/141,1/259,1/311
558,477,2211,107.2,11,6,1/130,1/201,1/369
559,1998,5268,112.6,26,20,1/115,1/203,1/263
560,818,2571,110.6,14,6,1/129,1/184,1/429
561,-159,2525,97.9,10,  6,1/158,1/253,1/421
562,110,5878,100.6,20,22,1/140,1/294,1/267
563,-416,338,59.0,0,0,-,-,-
564,4382,6826,121.4,38,32,1/98,1/180,1/213
565,-453,2859,94.7,6,13,1/150,1/477,1/220
587,1296,5040,108.6,24,15,1/129,1/210,1/336
588,-1336,2713,83.6,4,9,1/209,1/678,1/301
589,-632,994,78.8,2,1,1/331,1/497,1/994
590,17,2762,100.2,12,5,1/162,1/230,1/552
591,943,8735,103.6,31,38,1/127,1/282,1/230
592,-241,200,59.8,0,0,-,-,-
593,37,5011,100.2,20,14,1/147,1/251,1/358
594,-17,1912,99.7,8,3,1/174,1/239,1/637
595,54,5054,100.4,19,13,1/158,1/266,1/389
596,945,3575,108.8,16,11,1/132,1/223,1/325
597,298,5382,101.8,21,15,1/150,1/256,1/359
598,-557,828,77.6,1,2,1/276,1/828,1/414
599,-980,3708,91.2,12,9,1/177,1/309,1/412
600,-570,1370,86.1,4,1,1/274,1/343,1/1370
601,-512,2121,92.0,7,2,1/236,1/303,1/1061
602,-617,1745,88.2,4,5,1/194,1/436,1/349
603,1883,5547,111.3,26,19,1/123,1/213,1/292
604,1118,4029,109.2,18,11,1/139,1/224,1/366
605,-437,588,75.2,1,0,1/588,1/588,-
606,83,6445,100.4,25,16,1/157,1/258,1/403
671,-352,928,87.4,2,2,1/232,1/464,1/464
672,-131,2272,98.1,9,4,1/175,1/252,1/568
673,-396,2999,95.6,12,2,1/214,1/250,1/1500
674,131,2739,101.6,13,3,1/171,1/211,1/913
675,-590,1665,88.2,4,3,1/238,1/416,1/555
676,-606,1403,85.6,4,0,1/351,1/351,-
677,-545,1901,90.4,7,1,1/238,1/272,1/1901
678,0,2735,100.0,9,7,1/171,1/304,1/391
679,1589,2496,121.2,17,6,1/109,1/147,1/416
680,107,5332,100.7,17,24,1/130,1/314,1/222
681,-853,2132,86.7,4,9,1/164,1/533,1/237
682,159,5876,100.9,21,23,1/134,1/280,1/255
683,-521,1789,90.3,5,4,1/199,1/358,1/447
689,1442,7024,106.8,34,15,1/143,1/207,1/468
690,813,4356,106.2,20,10,1/145,1/218,1/436
691,-621,1125,81.6,2,2,1/281,1/563,1/563
692,-670,845,73.6,1,1,1/423,1/845,1/845
693,818,6355,104.3,25,26,1/125,1/254,1/244
694,277,4708,102.0,18,20,1/124,1/262,1/235
695,-711,3872,93.9,12,13,1/155,1/323,1/298
696,-137,962,95.3,3,2,1/192,1/321,1/481
697,-98,2452,98.7,9,6,1/163,1/272,1/409
698,797,5457,104.9,27,9,1/152,1/202,1/606
699,-275,852,89.2,2,1,1/284,1/426,1/852
700,-1120,2057,81.9,4,3,1/294,1/514,1/686
701,-1002,2697,87.6,6,8,1/193,1/450,1/337
平均,75,3181,100.8,12,9,1/149,1/262,1/348
