台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-917,1542,80.2,3,4,1/220,1/514,1/386
545,4062,5950,122.8,37,17,1/110,1/161,1/350
546,-425,370,61.7,0,1,1/370,-,1/370
547,2733,4415,120.6,25,18,1/103,1/177,1/245
548,-276,2165,95.8,8,4,1/180,1/271,1/541
549,-288,2863,96.6,7,12,1/151,1/409,1/239
550,-1389,2800,83.5,6,5,1/255,1/467,1/560
551,777,2620,109.9,14,6,1/131,1/187,1/437
552,1467,7148,106.8,26,35,1/117,1/275,1/204
553,551,735,125.0,4,4,1/92,1/184,1/184
554,-422,3169,95.6,8,15,1/138,1/396,1/211
555,-1108,6310,94.1,17,26,1/147,1/371,1/243
556,2967,5328,118.6,33,11,1/121,1/161,1/484
557,97,3596,100.9,17,5,1/163,1/212,1/719
558,-539,1935,90.7,5,5,1/194,1/387,1/387
559,-539,1376,86.9,3,3,1/229,1/459,1/459
560,621,6280,103.3,26,20,1/137,1/242,1/314
561,-9,495,99.4,2,0,1/248,1/248,-
562,1430,6265,107.6,28,21,1/128,1/224,1/298
563,-226,677,88.9,1,2,1/226,1/677,1/339
564,2102,4998,114.0,26,14,1/125,1/192,1/357
565,828,4368,106.3,20,9,1/151,1/218,1/485
587,179,2230,102.7,10,2,1/186,1/223,1/1115
588,2523,7937,110.6,32,43,1/106,1/248,1/185
589,-27,576,98.4,2,1,1/192,1/288,1/576
590,-321,2237,95.2,9,2,1/203,1/249,1/1119
591,-414,2974,95.4,12,3,1/198,1/248,1/991
592,522,5580,103.1,21,21,1/133,1/266,1/266
593,-723,2953,91.8,9,8,1/174,1/328,1/369
594,-43,1230,98.8,6,0,1/205,1/205,-
595,1451,5538,108.7,24,18,1/132,1/231,1/308
596,-501,1132,85.2,2,2,1/283,1/566,1/566
597,-508,999,83.0,2,2,1/250,1/500,1/500
598,138,4596,101.0,19,10,1/158,1/242,1/460
599,-1127,3075,87.8,6,10,1/192,1/513,1/308
600,-467,3929,96.0,15,8,1/171,1/262,1/491
601,-131,1301,96.6,4,4,1/163,1/325,1/325
602,236,1814,104.3,9,3,1/151,1/202,1/605
603,2614,4159,121.0,25,14,1/107,1/166,1/297
604,1713,8697,106.6,37,32,1/126,1/235,1/272
605,-438,380,61.6,0,1,1/380,-,1/380
606,455,4820,103.1,20,10,1/161,1/241,1/482
671,-439,2609,94.4,8,6,1/186,1/326,1/435
672,476,4868,103.3,21,10,1/157,1/232,1/487
673,-507,2272,92.6,8,8,1/142,1/284,1/284
674,500,4160,104.0,20,7,1/154,1/208,1/594
675,-567,897,78.9,1,3,1/224,1/897,1/299
676,-339,2099,94.6,8,4,1/175,1/262,1/525
677,-326,4369,97.5,16,14,1/146,1/273,1/312
678,1436,6607,107.2,28,26,1/122,1/236,1/254
679,-604,849,76.3,1,2,1/283,1/849,1/425
680,-157,4813,98.9,17,17,1/142,1/283,1/283
681,871,2785,110.4,16,5,1/133,1/174,1/557
682,580,3303,105.9,16,7,1/144,1/206,1/472
683,-1217,4300,90.6,11,14,1/172,1/391,1/307
689,-715,848,71.9,1,1,1/424,1/848,1/848
690,909,2489,112.2,13,7,1/124,1/191,1/356
691,-234,3279,97.6,12,10,1/149,1/273,1/328
692,3414,7527,115.1,43,17,1/125,1/175,1/443
693,231,922,108.4,4,4,1/115,1/231,1/231
694,1842,5309,111.6,28,15,1/123,1/190,1/354
695,-466,623,75.1,1,1,1/312,1/623,1/623
696,962,4874,106.6,20,20,1/122,1/244,1/244
697,199,5845,101.1,23,17,1/146,1/254,1/344
698,-33,523,97.9,2,1,1/174,1/262,1/523
699,-677,1192,81.1,3,3,1/199,1/397,1/397
700,2803,7037,113.3,35,24,1/119,1/201,1/293
701,-580,3860,95.0,10,17,1/143,1/386,1/227
平均,353,3380,103.5,14,10,1/140,1/243,1/333
